zhi2 jun1	56-54208-S
zhi2 jun1 gang1	56-54294-S
zhi2 ka3	6-58933-S,6-64289-S,26-34378-S
zhi2 kou3 kuai4	24-35759-S
zhi2 kuang2	6-11726-S
zhi2 lai2 zhi2 qu4	45-20424-B
zhi2 leng4 leng4	45-21304-B
zhi2 li4	43-21693-S,45-23018-B
zhi2 li4 ren2	45-23064-B
zhi2 liu2	45-22612-B
zhi2 liu2 dian4	45-22667-B
zhi2 liu4	45-25429-B
zhi2 lun2	43-22042-S
zhi2 mei2 deng4 yan3	45-22933-B
zhi2 men2	33-22135-S,57-21153-S
zhi2 mi2 bu4 wu4	15-65918-B
zhi2 min2	35-61924-B
zhi2 min2 di4	10-56431-S,10-58901-S,35-62039-B
zhi2 min2 hua4	30-50271-S
zhi2 min2 zhu3 yi4	30-50191-S,35-61973-B
zhi2 neng2	51-69001-B
zhi2 nu:3	18-43975-B
zhi2 nu:3 xu5	18-44032-B
zhi2 qi3 luo4 fei1 ji1	15-55525-S
zhi2 qi4	43-21748-S
zhi2 qi4 guan1	43-21821-S
zhi2 qi4 zhuang4	42-56035-S
zhi2 qian2	1-69059-S,6-5016-B,9-66180-S
zhi2 qiang1	37-60101-S
zhi2 qin2	6-4016-B,15-64721-B
zhi2 qing2 jing4 xing2	45-21189-B
zhi2 qu4	45-20424-S
zhi2 quan2	51-68757-B
zhi2 ren2 yuan2	46-61190-S
zhi2 ri4	6-4788-B
zhi2 ri4 sheng1	6-4832-B
zhi2 shang4	67-59368-S
zhi2 sheng1 fei1 ji1	45-20797-B,45-22478-B
zhi2 sheng1 ji1	45-20741-B,45-22389-B
zhi2 shi4	15-64681-B
zhi2 shou3	29-18629-S,42-39437-S,44-2074-S
zhi2 shou3 shu4	47-27059-S
zhi2 shu1 xiong1 yi4	45-21534-B
zhi2 shu3	45-20932-B
zhi2 shu4	34-25312-B
zhi2 shuai4	45-22789-B
zhi2 shuang3	45-22727-B
zhi2 shui4	16-26247-S
zhi2 sou1 suo3	15-55361-S
zhi2 su4	6-4169-B
zhi2 sun1	5-16738-B
zhi2 sun1 nu:3	5-16783-B
zhi2 suo3 jian4	12-29047-S
zhi2 tong1	45-24879-B
zhi2 tong1 che1	45-25002-B
zhi2 tong1 huo3 che1	45-24932-B
zhi2 wang3 qian2	1-15414-S
zhi2 wei2 min2	9-17070-S
zhi2 wei4	15-41316-S,51-68065-B
zhi2 wu4	7-20296-S,10-285-S,32-53011-S,34-25360-B,48-26001-S,51-68157-B,55-10649-S,56-51683-S,57-3038-S,57-64173-S
zhi2 wu4 fen1 lei4	10-364-S
zhi2 wu4 men2	56-51797-S,57-3141-S
zhi2 wu4 qun2	34-25670-B
zhi2 wu4 ren2	34-25419-B
zhi2 wu4 xue2	34-25563-B
zhi2 wu4 you2	34-25613-B
zhi2 wu4 yuan2	34-25491-B
zhi2 xi2 fu5	5-16661-B
zhi2 xi4 bao1	43-21897-S
zhi2 xi4 qin1 shu3	45-23120-B
zhi2 xia2 shi4	2-67203-S,45-24822-B
zhi2 xia4	24-60079-S
zhi2 xian4	15-55465-S,43-21960-S,45-23206-B
zhi2 xian4 jia1 su4 qi4	45-23254-B
zhi2 xian4 xing4 jia1 su4 qi4	45-23338-B
zhi2 xiao1	45-25219-B
zhi2 xing2	15-65610-B,35-11735-S,57-52734-S
zhi2 xing2 guan1	69-22031-S
zhi2 xing2 ren2	15-65682-B
zhi2 xing2 wang3 lu4	9-51293-S
zhi2 xing2 wei3 yuan2 hui4	2-65966-S
zhi2 xing2 zhang3	15-65855-B
zhi2 xing2 zhi3 hui1 guan1	15-65767-B
zhi2 xing4	12-15643-S,47-26957-S
zhi2 xun4 lian4	15-36194-S
zhi2 ya2	51-68819-B
zhi2 yan2	4-26114-S
zhi2 yan2 bu4 hui4	45-24457-B
zhi2 yan2 ming4 ti2	45-24525-B
zhi2 yan3 jiang3	21-10621-S
zhi2 ye4	6-4123-B,47-33362-S,51-68419-B,53-11463-S
zhi2 ye4 bing4	51-68556-B
zhi2 ye4 zhong1 xue2	51-68477-B
zhi2 ye4 zhuan1 ye4	60-63424-S
zhi2 yi3 lai2	1-15338-S
zhi2 yi4	15-64779-B,45-24755-B
zhi2 yu4	6-4077-B,6-4958-B
zhi2 yuan2	30-4293-S,47-33304-S,51-68214-B
zhi2 yuan2 gong1	30-4373-S
zhi2 ze2	51-69049-B
zhi2 zeng1 zhi2	6-53002-S
zhi2 zhang3	15-64838-B
zhi2 zhao4	15-65476-B,69-49882-S
zhi2 zhe3	36-54551-S
zhi2 zheng4	15-64891-B,47-17223-S
zhi2 zheng4 dang3	15-65211-B
zhi2 zheng4 fang1 shi4	15-65008-B
zhi2 zheng4 guan1	15-64951-B
zhi2 zheng4 neng2 li4	15-65135-B
zhi2 zheng4 zhe3	15-65083-B
zhi2 zhi4	45-23575-B,51-68375-B
zhi2 zhu1	34-25268-B
zhi2 zhuang4	35-9909-S
zhi2 zhui1	18-18753-S
zhi2 zhuo2	15-65518-B
zhi2 zi5	18-44119-B
zhi2 zui3 kuai4	24-35876-S
