yongjing place in gansu	36-53096-S
yongkang 1942 	13-13158-S
yongkang city in zhejiang	36-51099-S
yongle	31-23866-S
yongle great encyclopedia 1408	36-51813-S
yongle 永樂 永乐	32-68872-S
yongmin 1943 	42-35705-S
yongnian place in hebei	36-51034-S
yongning place in guangxi	63-14706-S
yongning place in ningxia	36-50593-S
yongping place in yunnan	36-50968-S
yongqing county in tianjin	36-51969-B
yongren place in yunnan	36-48722-S
yongshan place in yunnan	36-49504-S
yongsheng place in yunnan	36-49085-S
yongshou place in shaanxi	36-50003-S
yongshun place in hunan	36-53243-S
yongtai place in fujian	36-51905-S
yongxin county in ji an 吉安	36-51432-B,36-51497-B
yongxing place in hunan	36-52544-S
yongxiu county in jiujiang 九江	36-48786-B,36-48854-B
yongyuan	21-44003-S
yongzhen abdication of 805	36-52834-B
yongzhen reform	36-52919-B
yongzheng	66-61919-B
yongzhou prefecture level city in hunan	36-50807-B,36-50882-B
yonhap south korean news agency	68-12751-B
yop	71-24591-S
york	31-39243-S,49-4169-B,49-18945-S,53-56561-S
york chow or chow yat ngok 1947 	13-10705-B
york city	32-14161-S,32-14289-S,44-55897-S,49-19234-S
york post newspaper	49-19586-S
york state	49-19174-S
york stock exchange	49-19471-S
york times newspaper	49-19389-S
york university	49-19042-S
york yankees baseball team	37-50213-S
york yankees in major league baseball	42-34914-S
yorker	49-18987-S,49-19116-S
yorkshire english region	49-4206-B
yoshino sensei	55-33280-B,55-33328-B
yoshirō 1937 	34-23654-S
