number chem 	67-28000-S
number e g of places on a bus	19-45502-S
number field	30-20644-S
number for verification serial number	20-55362-B
number four	48-12782-B
number i e fraction of two integers	32-36431-S
number i e negative or zero	67-66111-S
number i e positive or zero	67-67829-S
number i e to fill places up to a given number	6-65002-S
number in a race	61-16210-S
number line	30-24186-B
number math 	20-13185-S,45-26098-S,57-5619-S
number of a tender	34-52804-S
number of animate nouns	5-54849-S
number of combinations	3-43814-S
number of days later	17-47037-S
number of degrees of freedom	53-10707-S
number of enemy heads cut off	35-44408-S
number of events	25-7961-S
number of homologous chromosomes	33-43466-S
number of households for census or taxation	26-24480-S
number of infected persons	25-42168-B
number of military unit	43-57848-B
number of molecules in a mole	65-66477-S,65-66615-S
number of officers at the scene	59-162-S
number of people	4-10164-B,4-18177-B,12-59609-S
number of people killed	35-56339-B
number of people participating	4-11455-S
number of revolutions per minute	61-29556-B
number of runs or flights	42-47210-B
number of scheduled sailing	53-34334-B
number of some languages and actions cannot be followed by a noun	16-12860-S
number of sth	32-19659-S
number of strings of an instrument	23-34626-B
number of strokes of a chinese character in dictionaries	48-14245-B
number of things	17-13078-S
number of times	35-20704-B
number of votes	46-64118-B
number of years	22-50403-S
number of years old	35-50693-S
number off	16-10851-B
number one	48-8254-B,48-8985-B,56-18272-S,68-20086-B,68-39624-B
number one best or worst	34-39785-S
number one of the above	8-3253-B
number one productive force from 1978 speech by deng xiaoping 鄧小平 邓小平 introducing the four modernizations 四個現代化 四个现代化 	47-17500-S
number one scholar	42-3529-B
number or amount of	53-66149-S
number or quantity	50-38303-S,55-13992-S
number plate	55-55451-B
number plus classifier	12-56290-S
number quality of light diesel fuel	10-44917-S
number ratio of inertial forces to viscous forces in fluid mechanics	67-23909-S
number square	3-12648-S
number theorist	66-28084-S
number theory	13-43080-S
number theory math 	16-6168-S,30-24131-B
number three	48-9694-B
number three of the above	8-3314-B
number to a convenient multiple	39-9440-S
number two	3-36612-S,48-10661-B,48-11323-B
number two of the above	8-3442-B
number 两三百	34-37475-S
numbered kings	3-32275-S
numbered on ethnic calendar	47-47706-S
numbered sequence	4-66632-S
numbered strokes	3-52408-S,3-52529-S
numberless	40-54465-B
numbers	10-48242-S,22-53269-S,26-11496-S,30-21941-B,30-22021-B,30-23031-S,30-64529-S,33-34601-S,36-20869-B,37-57313-S,39-13987-S,50-36901-S,57-5681-S,61-15192-S,67-18712-S,71-39850-S
numbers as values of a function	20-12155-S,20-13251-S
numbers of	26-11425-S
numbers to a base	62-28709-S
numbers to base 2	3-42499-S
numbers with inferior products	40-10384-S
numbers 成语 saw	40-10384-S
numbness	71-15085-B
numbness of the limbs	44-17603-B
numeral	4-29953-S,4-52755-S,5-10803-S,11-41362-S,16-37845-S,27-53554-S,28-2759-S,30-20699-B,30-24091-B,33-42586-S,42-37296-S,46-34325-B,52-3700-S,59-41860-S,66-32597-S
numeral corresponding to 廿	24-49883-S
numeral indicating the order of birth of the children in a family or to indicate affection or familiarity	51-24509-S
numeral one	16-37710-S,23-25071-S
numerals	11-41420-S,30-23554-B,50-63465-S,52-3823-S,59-41915-S,66-2993-S
numerals 壹	17-15322-S
numerator and denominator	49-4276-S
numerator of a fraction	8-50772-S
numeric	19-5501-B,67-65358-S
numerical	27-59550-B,30-20281-B
numerical analysis math 	30-20324-B
numerical answer to a question in math 	48-20850-B
numerical code	30-23554-B
numerical mathematics	57-59459-B
numerical range	49-23954-B
numerical simulation	40-59490-S
numerical solution	30-20405-B
numerical value	49-4494-S,60-31779-S
numerical value of electrical impedance	65-63890-B
numerical value or more	69-14715-S
numerology	30-21006-B
numerous	1-65339-B,16-53014-B,17-3754-B,17-37261-B,20-4004-S,23-10208-B,30-20003-B,40-8194-B,45-53032-B,49-24024-B,49-24493-B,54-22917-B
numerous and complicated	49-24351-B
numerous and disorderly	49-24075-B
numerous and wide ranging	50-36957-B
numerous items	17-13078-B
numerous people	17-16959-S
numerous similar cases	2-20939-B
numerous tasks remain to be undertaken	44-55698-B
