běn zhèng jīng	1-11374-S
běn zhì	32-66620-B
běn zhì shàng	32-66703-B
běn zhí	32-65971-B
běn zhí wù	32-53011-S
běn zhú kuài	31-9272-S
běn zhēng xiàng liàng	32-63813-B
běn zhēng zhí	32-63715-B
běn zhōu	32-61702-B,32-63195-B,32-66828-B
běn zhōu liù	32-67101-B
běn zhōu sì	32-67160-B
běn zhōu sān	32-66928-B
běn zhōu wǔ	32-67045-B
běn zhōu yī	32-66872-B
běn zhōu èr	32-66988-B
běn zhǔ yì	32-64887-S,59-51643-S
běn zi	32-62803-B
běn zuì	32-65846-B
běn zì	32-62856-B
běn zú yǔ	32-64222-B
běn àn	54-1186-B
běn àn běn yǐ suān nà	3-38829-S
běng	42-58333-B,50-38862-B,54-37986-B
běng zhe liǎn	50-39100-B
bī	6-19346-B,6-32243-S,6-45617-S,9-68093-S,18-48782-S,21-17938-B,29-21314-S,41-47531-S,44-58518-B,52-7945-S,54-19324-S,56-61089-S,61-60825-S,62-32665-S,62-33566-B
bī gòng	62-33959-B
bī gòng xìn	62-34012-B
bī gōng	62-34177-B
bī jìn	62-34543-B
bī lì yòu	18-48850-S
bī mín fǎn	19-43096-S
bī pò	62-34623-B
bī rén	13-21082-S,62-33860-B
bī shàng liáng shān	62-33697-B
bī shì	62-34474-B
bī sǐ	62-34248-B
bī xiào	62-34392-B
bī zhài	62-34113-B
bī zhēn	62-34318-B
bī zè	62-33913-B
bīn	2-70052-S,5-19422-S,5-19469-S,6-55303-B,7-32440-S,13-39182-S,14-29001-S,16-50908-S,18-42288-S,19-50535-S,23-56923-B,30-31047-S,30-31992-B,30-39122-S,33-315-S,34-27932-S,35-9125-S,37-20868-S,38-21868-S,38-47627-S,39-11549-S,40-11302-B,40-14034-B,43-7438-B,49-57026-S,50-43399-B,54-37202-S,56-21154-B,57-19559-S,59-26531-B,59-43632-S,59-55085-B,61-45934-S,63-15497-B,65-6184-B,69-26153-S,70-41308-S
bīn bīn	30-31047-S
bīn bīn yǒu lǐ	23-56964-B
bīn chuān	59-55520-B
bīn chéng	35-15057-B
bīn cí	59-55900-B
bīn dà xué	54-37324-S
bīn dì qū	19-50606-S
bīn fēn	3-50545-S,50-43462-B
bīn guǎn	15-13326-S,59-56145-B
bīn gōng yè dà xué	13-39231-S
bīn hàn	50-62240-S
bīn hé	40-14632-B
bīn hóng	71-23446-S
bīn hǎi	40-11607-B,40-14691-B
bīn hǎi biān jiāng qū	40-11738-B
bīn hǎi xīn qū	40-11677-B
bīn jiǔ	69-26205-S
bīn jìn	40-14808-B
bīn kè	59-55472-B
bīn lì	59-55160-B
bīn lín	40-14750-B
bīn lún tāi	35-9182-S
