néng xià	52-26670-S
néng xiǎn	24-28215-S
néng xìng	9-49906-S,12-15974-S
néng yuán	33-61648-S,36-45651-S,52-27717-B
néng yuán bù	51-4964-S
néng yuán dòng cí	52-27507-B
néng yuán wēi jī	52-27772-B
néng yào shi	54-47405-S
néng yán jiū suǒ	31-8649-S
néng yì shì	18-1579-S
néng yí	59-36824-S
néng yí shān	25-37288-S
néng yín	20-8288-S
néng zhèng	32-10527-S
néng zhù	25-37755-S
néng zǒng gōng sī	2-59642-S
néng ér	4-69324-S
nì	1-77534-S,3-13631-S,10-40292-B,11-36692-S,11-66477-S,12-17258-S,16-3193-B,24-47348-S,25-7519-S,25-11706-B,31-38356-B,31-65848-B,37-6466-S,37-42507-B,39-25083-B,44-5209-B,45-56636-S,45-56802-B,49-33611-S,51-42529-S,52-49713-B,54-26557-S,55-30767-S,56-48874-B,57-39446-S,58-18329-S,61-65778-B,62-58609-S,71-33-B
nì biàn	61-68368-B
nì bào	10-40364-B
nì bì	31-38480-B
nì chā	59-49436-S,61-66887-B
nì chēng	31-38520-B
nì chǎn	61-67795-B
nì duàn céng	61-67177-B
nì dìng lǐ	61-66819-B
nì fán	52-49979-B
nì fēng	61-68766-B
nì fǎn	61-66150-B
nì fǎn xīn lǐ	61-66215-B
nì fǎn yìng	61-66287-B
nì guāng	61-66085-B
nì gǔ	37-42578-B
nì gǔ bù huà	37-42671-B
nì jì	10-40420-B,64-33941-S
nì jìng	61-66656-B
nì jǐ jīng	61-67054-B
nì le	52-1419-S
nì liào	61-67122-B
nì liú	60-7248-S,61-67581-B
nì liú sù yuán	61-67716-B
nì lái shùn shòu	61-65870-B
nì lún	61-66019-B
nì lǐ	62-56484-S
nì lǐ cǎi	23-62670-S
nì lǚ	61-67262-B
nì míng	10-40321-B
nì rén	52-49750-B
nì shuǐ	39-25238-B,61-67384-B
nì shuǐ xíng zhōu	61-67446-B
nì shí zhēn	61-67309-B
nì shī	5-60574-S
nì shǒu	37-42926-B
nì sǐ	5-14190-S
nì wei	52-49844-B
nì wǒ zhě wáng	68-24374-S
nì xiàng	61-66382-B
nì xiàng yōng sāi tōng zhī	61-66444-B
nì xìng	12-17300-S
nì xíng	61-68100-B
nì xíng dǎo shī	61-68194-B
nì xù	61-66955-B
nì xīn	61-67000-B
nì yí	61-66699-B
nì yù	61-66571-B
nì yùn	61-68630-B
nì yùn suàn	61-68684-B
nì yǒu	52-49796-B
nì zhuǎn	1-77588-S,61-68495-B
nì zhuǎn lù méi	61-68553-B
nì zhàn zhēng	22-14177-S
nì zhě	11-66528-S
nì zhī jiāo	54-26611-S
nì zi	37-42816-B,52-49900-B
nì zéi	61-68435-B
nì zǐ	61-66775-B
nì ài	31-38414-B,39-25186-B
nì ěr	24-46909-S,61-67863-B
nì ěr zhī yán	61-67948-B
nìng	5-9308-B,18-24657-S,20-16521-B,29-28493-B,37-43286-S,40-8811-B,59-13125-S
nìng kě	20-16690-B
nìng kěn	20-19358-B
nìng quē wú làn	20-19187-B
nìng sǐ bù qū	20-17906-B
nìng yuàn	20-20459-B
nìng ěr	20-18553-B
nìng ěr xiàn	20-18885-B
ní	3-60389-S,4-59087-S,5-51274-S,6-2889-B,6-51584-S,8-61320-S,9-11549-S,9-58881-S,10-63206-S,11-12928-S,11-16477-S,11-18468-S,13-10223-B,13-43760-S,15-32653-S,15-53962-B,15-69832-S,17-42051-S,18-15463-S,20-33620-S,20-67244-S,21-12424-B,22-13896-S,22-17288-S,22-17578-S,24-64369-B,25-6408-S,27-22010-S,27-39020-S,29-614-S,30-36530-S,31-47647-S,32-68461-S,33-65360-S,36-8982-S,36-10174-S,36-42731-S,37-42471-B,38-44112-S,40-25746-S,41-11943-S,41-36102-S,41-36627-S,42-11418-B,43-924-S,44-41066-S,46-22282-S,49-26578-S,51-44491-S,52-48979-S,53-49069-S,53-54740-S,54-26074-S,56-5920-B,57-17755-S,59-27837-B,61-13700-B,61-50580-S,61-51173-S,63-25067-B,63-54124-S,64-22017-B,64-40737-S,64-41892-S,65-64083-S,66-14802-S,67-44079-B,69-34815-S,69-35197-S,69-37721-S,70-44531-B,71-9236-B,71-56562-B
ní bá	39-49511-S
ní bó	39-20536-S
ní bó ěr	21-13889-B
ní bó ěr guó wáng	21-14038-B
ní bó ěr gòng chǎn dǎng	21-13936-B
ní bù chǔ tiáo yuē	2-49713-S,21-13261-B
ní bā	37-43044-B
ní bā mī mōu	13-56214-S
ní chá	30-43179-S,47-16774-S
ní cháng	67-44224-B
ní cǎi	21-13509-B
ní dài shuǐ	27-37181-S
ní dá	41-61077-S
ní dá hé duō bā gē	41-61137-S
ní dá lì dūn	65-5538-S
ní dé lán	21-13451-B
ní dé wáng cháo	66-14347-S
ní dí	32-63019-S,52-13492-S,66-6259-S
ní dí háng tiān zhōng xīn	52-13556-S
ní dí jiǎo	52-13667-S
ní dùn	11-18554-S
ní dāo	37-42539-B
ní dǎo	34-6519-S,36-10222-S
ní fó	63-54210-S
ní fēng	37-42985-B
ní gū	21-13140-B
ní gǔ dīng	21-13033-B
ní huā yuán	19-52844-S
ní hái	37-42884-B
ní hè lǔ	21-14493-B
ní hóng	67-44118-B
ní hóng dēng	67-44169-B
ní hēi	25-46617-S
ní jiào	29-668-S
ní jiā	16-58480-S,16-61809-S,22-24099-S
ní jiā gòng hé guó	16-58602-S,16-61890-S
ní jiā hòu shū	22-24309-S
ní jiā lián bāng	16-61995-S
ní jiā lā guā	21-12822-B
ní jiā qián shū	22-24176-S
ní jī	52-38256-S
ní jīn	37-43938-B
ní kè	16-61690-S,21-12647-B,33-8916-S,69-38487-S
ní kè hào	37-45728-S
ní kè sēn	21-12690-B
ní kè sī	54-37142-S
ní kè sōng	21-12773-B
ní kā	15-52822-S
ní kā hú	15-52913-S
ní kē	6-57702-S
ní kē fū	11-14263-S
