排骨 排骨	28-18612-B
掔	28-18677-S
掔 掔	28-18677-B
掖	28-18723-S
掖 掖	28-18723-B
掖庭	28-18754-S
掖庭 掖庭	28-18754-B
掗	28-18831-S
掗 掗	28-18831-B
掘	28-18873-S
掘 掘	28-18873-B
掘墓工人	28-18899-S
掘墓工人 掘墓工人	28-18899-B
掙 挣	28-18967-B,28-19000-B
掙扎 挣扎	28-19048-B
掙脫 挣脱	28-19106-B
掙錢 挣钱	28-19151-B
掛 挂	28-19201-B
掛在嘴上 挂在嘴上	28-19252-B
掛好 挂好	28-19371-B
掛帥 挂帅	28-19435-B
掛念 挂念	28-19534-B
掛慮 挂虑	28-19578-B
掛懷 挂怀	28-19625-B
掛擋 挂挡	28-19703-B
掛斷 挂断	28-19785-B
掛蘭 挂兰	28-19840-B
掛號 挂号	28-19925-B
掛號證 挂号证	28-19985-B
掛鉤 挂钩	28-20045-B
掛鐘 挂钟	28-20099-B
掞	28-20145-S
掞 掞	28-20145-B
掠	28-20179-S
掠 掠	28-20179-B
掠卖	28-20357-S
掠卖华工	28-20430-S
掠取	28-20242-S
掠取 掠取	28-20242-B
掠夺	28-20305-S
掠奪 掠夺	28-20305-B
掠賣 掠卖	28-20357-B
掠賣華工 掠卖华工	28-20430-B
掠过	28-20564-S
掠過 掠过	28-20564-B
採 采	28-20658-B
採伐 采伐	28-20738-B
採光 采光	28-20779-B
採出 采出	28-20836-B
採制 采制	28-20888-B
採取 采取	28-20941-B
採取措施 采取措施	28-21005-B
採場 采场	28-21078-B
採掘 采掘	28-21119-B
採摘 采摘	28-21161-B
採擇 采择	28-21206-B
採收率 采收率	28-21255-B
採暖 采暖	28-21314-B
採果 采果	28-21356-B
採棉機 采棉机	28-21403-B
採樣 采样	28-21461-B
採樣率 采样率	28-21504-B
採油 采油	28-21562-B
採煤 采煤	28-21623-B
採珠 采珠	28-21697-B
採用 采用	28-21749-B
採石場 采石场	28-21809-B
採礦 采矿	28-21872-B
