of 那麼 那么	63-17928-S
of 邰	30-25277-S
of 郤	63-20657-S
of 鄉 乡	63-26549-S
of 鄰 邻	66-42442-S
of 鄰 隶	66-51540-S
of 醉	63-41206-S
of 醜 丑	2-37244-S
of 釀 酿	63-51507-S
of 釁 衅	53-29373-S
of 釋 释	63-52406-S
of 重活 重活	63-61573-S
of 針 针 needle	64-51390-S
of 鈈 钚 plutonium	64-22476-S
of 鉞 钺 battle ax	26-4922-S
of 鉢 钵	45-3035-S
of 銳 锐	64-38652-S
of 銹 锈	64-58941-S
of 鋒 锋	64-57754-S
of 鋦 锔	64-39174-S
of 錄 录	64-48945-S
of 錢 钱	64-32719-S
of 錢串 钱串	64-44237-S
of 鍛 锻	40-66175-S
of 鍬 锹	35-10635-S,64-50655-S
of 鍾 钟	64-51439-S
of 鎮 镇	64-53641-S
of 鏈 链	64-49707-S
of 鐧 锏	64-59559-S
of 鐵 铁	64-22775-S
of 鐵 铁 iron	65-1076-S
of 鐸 铎	64-21967-S
of 鑄 铸	64-39124-S
of 鑽 钻	65-7008-S
of 鑽勁 钻劲	65-8872-S
of 铺 铺	16-7404-S
of 閃亮 闪亮	65-24671-S
of 開國元勳 开国元勋	65-31626-S
of 開花 开花	65-41124-S
of 閑 闲	65-46051-S
of 閱 阅	65-50189-S
of 閻 阎	65-27159-S
of 關 关	65-47744-S
of 闞 阚	70-30133-S
of 阤	66-14989-S
of 阪	15-47092-S
of 阿德萊德 阿德莱德	53-47352-S
of 陝西 陕西 shaanxi	66-19223-S
of 陰莖 阴茎	66-24209-S
of 陰蒂 阴蒂 clitoris	66-23971-S
of 陷	66-22958-S
of 陽歷 阳历 solar calendar	66-36084-S
of 隐 隐	66-42392-S
of 險 险	66-34587-S
of 隱身草 隐身草	66-50086-S
of 雇主	6-52241-S
of 雜 杂	66-62003-S
of 雞 鸡	70-57834-S,70-59478-S
of 零雜 零杂	67-21952-S
of 電桿 电杆	67-31218-S
of 露餡 露馅	67-48372-S
of 霸	57-28845-S
of 靈 灵	67-41554-S
of 青	67-53678-S
of 鞍	68-6943-S
of 韓國 韩国 mixes traditional and simplified characters	68-11304-S
of 預 预	59-25303-S
of 頒 颁	29-48385-S
of 頭半天 头半天	68-36629-S
of 頭臉 头脸	68-39446-S
of 顏 颜	68-44979-S
of 顯 显	68-45020-S
of 颁布	68-31874-S
of 颠	60-49974-S
of 風采 风采	68-54836-S
of 飆 飙	68-62292-S
of 餉 饷	69-20954-S
of 餘 余	69-14886-S
of 餡 馅	69-17939-S
of 餡餅 馅饼	69-17996-S
of 馬克 马克 preferred by the catholic church	69-40139-S
of 馬太 马太 preferred by the catholic church	43-1513-S
of 馬德里 马德里	69-37582-S
of 馱 驮	69-47447-S
of 駁 驳	69-51046-S
of 騷 骚	69-53207-S
of 驅 驱	69-47587-S
of 驗 验	69-53257-S
of 驚嘆 惊叹	69-62333-S
of 驚蟄 惊蛰	13-65778-S
of 驛 驿	69-47497-S
of 髓	70-4196-S
of 高	70-24243-S
of 髮 发	70-24642-S
of 鬥 斗	65-53280-S,70-30092-S,70-30174-S,70-30215-S
of 鬱 郁	40-19549-S
of 魔羯座	21-32007-S
of 鮌 鲧	70-43712-S
of 鰮 鳁	70-46007-S
of 鱔 鳝	70-47727-S
of 鷗 鸥	70-54122-S
of 鹹津津 咸津津	71-4012-S
of 鹹絲絲 咸丝丝	71-4262-S
of 鹼 碱	46-42709-S,71-3811-S
of 鹽 盐	16-21504-S
of 麵條 面条	71-13797-S
of 麼 么	71-16558-S
of 黑	71-34512-S
of 默	71-37296-S
of 點 点	71-38290-S
of 鼠	71-50404-S
of 齊 齐	30-31943-S
of 齋 斋	30-32033-S
of 齒 齿	35-50357-S
of 齜 龇	13-15429-S
of 齡 龄	71-56143-S
of 齰	71-55770-S
of 龍 龙	47-63238-S
off	1-59599-S,2-1747-S,2-14428-S,2-72782-S,2-74275-S,2-81749-S,4-26876-S,4-27614-S,6-22899-S,8-10582-S,8-20742-S,8-38622-S,8-43037-S,8-45572-S,8-53372-S,8-53372-S,9-26648-S,9-29307-S,9-33923-S,9-34048-S,9-34090-S,9-38246-S,9-38983-S,9-39518-S,10-13782-S,10-41665-S,10-53408-S,11-27376-S,12-64891-S,13-2280-S,13-44550-S,14-63179-S,16-10851-S,16-10851-S,16-12506-S,16-55160-S,16-55268-S,17-27182-S,17-70697-S,19-39247-S,20-8131-S,20-27603-S,20-34148-S,20-50052-S,21-10948-S,21-35038-S,22-40749-S,23-16944-S,23-18112-S,23-18623-S,25-23374-S,25-23672-S,25-58672-S,26-8098-S,26-13243-S,26-16021-S,26-45559-S,26-47136-S,26-47274-S,26-49121-S,26-49201-S,26-49201-S,26-53223-S,27-8490-S,27-9117-S,27-10515-S,27-14886-S,27-21200-S,27-33142-S,27-42130-S,27-42533-S,27-47775-S,28-10081-S,28-14988-S,28-19106-S,28-28306-S,28-28306-S,28-29436-S,28-32752-S,28-58280-S,28-63494-S,29-5045-S,29-6128-S,29-8340-S,29-10393-S,29-10938-S,29-20069-S,29-32745-S,29-37165-S,29-40806-S,29-49018-S,30-38451-S,30-38862-S,30-59996-S,30-60052-S,31-40596-S,35-19054-S,35-32518-S,35-32518-S,35-44408-S,37-28907-S,38-2864-S,38-42605-S,39-448-S,39-27362-S,39-60703-S,40-24183-S,40-29711-S,41-4786-S,43-36231-S,43-36277-S,45-54220-S,45-58231-S,45-58268-S,45-58301-S,46-12910-S,47-34200-S,47-59209-S,48-4538-S,48-40222-S,50-11809-S,50-22340-S,51-22762-S,52-32243-S,52-32426-S,52-32710-S,54-49235-S,56-36232-S,56-45431-S,57-11964-S,57-29381-S,58-42282-S,59-58834-S,61-14643-S,61-33892-S,61-63346-S,61-63508-S,61-64075-S,62-66541-S,62-66829-S,64-33781-S,64-34128-S,65-34839-S,65-53366-S,65-55487-S,65-55487-S,65-65181-S,66-40089-S,68-62785-S,68-63529-S,69-54432-S
off a blow	28-2822-S
off a campaign	28-10196-S
off a charge	8-44147-S
off a computer	44-23556-S
off a cover	28-48335-S
off a daughter	18-37317-S
off a debt	6-56813-S
off a departing guest	45-19023-S
off a job	27-36036-S
off a length	26-15700-S
off a machine	65-55949-S
off a plane	1-64847-S
off a port	20-33671-S
off a relation	1-2914-S
off a supply etc	8-61750-S
off alaska and british columbia	37-38456-S
off an attack	50-22650-S
off an explostion	60-17366-S
off an imitation	6-6677-S
off an old skin or shell	56-1462-S,56-1584-S
off and capture	26-16239-S
off and fly into space	1-48200-S
off and landing	60-17873-S,60-18919-S
off and landing aircraft	15-55205-S,15-55525-S,46-453-S
off and landing gear	60-18095-S
off and landing strip	60-17957-S
off and make sb run off	26-49201-S
off and on	30-59124-B
off as	8-10643-S
off as their own	34-44394-S
off as what one is not	26-48362-S
off at one stroke	1-16636-S
off between two opponents	20-52089-S
off campus	33-53070-B
off clothes	56-55743-S,57-8332-S
off clothing	52-32312-S
off contact	33-10354-S
off course	61-54788-B
off diplomatic relations	30-58664-S
off double quick	29-6128-S
off downhill	8-41270-S
off during moulting	56-1462-S,56-1584-S
off dust	2-31927-S
off easily	1-68053-S
off electric switch	30-60905-S
off employees	56-53329-S
off evil	59-28488-S
off evil spirits	61-33974-S
off firecrackers	29-52335-S,29-53349-S
off firecrackers etc	41-23591-S
off fireworks	29-48426-S
off fujian	69-40486-S
off golf	65-38946-S
off guard	1-69614-B,8-35671-S
off guard with a surprise attack 成语 saw	8-35789-S
off him	28-49993-S,28-50088-S
off in a great panic 成语 saw	5-52126-S
off in an airplane	60-18976-S
off in hot pursuit	18-18753-S
off in the shade	3-13706-S
off in winter	8-27217-S
off into the distance	45-35122-S
off leniently 成语 saw	26-31683-S
off lightly	5-28881-S
off like a frightened rat	71-50037-S
off like a rocket	69-63889-S
