man3 fen1	39-35571-B
man3 fu2	39-39032-B
man3 fu4	39-40515-B,48-55910-S
man3 fu4 jing1 lun2	39-40715-B
man3 fu4 lao2 sao1	39-40576-B
man3 gong1	39-35519-B
man3 gu3	39-36715-S
man3 guan4	17-26107-S,39-41096-B
man3 huai2	39-38483-B
man3 jiao4	55-25235-S
man3 keng1 man3 gu3	39-36715-B
man3 kou3	39-35615-B
man3 kou3 cheng1 zan4	39-35968-B
man3 kou3 hu2 chai2	39-36045-B
man3 kou3 hu2 yan2	39-36140-B
man3 kou3 huang3 yan2	39-36234-B
man3 kou3 ying4 cheng2	39-35891-B
man3 kou3 zang1 hua4	39-36308-B
man3 kou3 zhi1 hu1 zhe3 ye3	39-35763-B
man3 lei3	39-37569-B
man3 lian3 sheng1 hua1	39-40872-B
man3 ling2 yu3	54-15163-S
man3 man3 dang1 dang1	39-39701-B
man3 man3 deng1 deng1	39-39786-B
man3 men2	39-41525-B
man3 men2 chao1 zhan3	39-41575-B
man3 mian4	24-52432-S,31-36434-S,39-41686-B
man3 mian4 chun1 feng1	39-41770-B
man3 mu4	39-40231-B,42-58917-S,44-18392-S
man3 ning3	39-38827-B
man3 pan2	39-40126-B
man3 qi1	39-39141-B
man3 qiang1	39-40366-B
man3 qiang1 re4 chen2	39-40439-B
man3 qu1	59-21019-S
man3 shan1 bian4 ye3	39-37941-B
man3 shen1	39-41260-B
man3 shen1 chen2 ai1	39-41311-B
man3 shi1	39-38196-B
man3 shi4 jie4	39-35405-B
man3 shou3	39-38660-B
man3 suan4	39-38702-S
man3 tang2	39-37149-B
man3 tang2 cai3	39-37240-B
man3 tang2 guan4	39-37372-B
man3 tang2 hong2	39-37464-B
man3 tian1	39-37629-B
man3 tian1 fan2 xing1	39-37673-B
man3 tian1 fei1	39-37745-B
man3 tian1 xia4	12-56930-S
man3 tou2 da4 han4	39-41859-B
man3 xi1 wang4 de5 ba2 she4 bi3 dao4 da2 mu4 di4 di4 geng1 neng2 gei3 ren2 le4 qu4	6-65579-S
man3 xiao4	39-37830-B
man3 xin1	39-38329-B
man3 yan3	39-40299-B
man3 yi4	2-17654-S,5-14238-S,39-38411-B,39-39646-B
man3 ying2	25-23777-S,39-40084-B
man3 yuan2	39-36403-B
man3 yuan2 chun1 se4	39-36527-B
man3 yue4	39-38947-B
man3 zai4	39-41373-B
man3 zai4 er2 gui1	39-41436-B
man3 zhi4	60-53133-S
man3 zu2	39-41194-B
man3 zu2 zi4 zhi4 xian4	10-36108-S,21-36845-S,30-56738-S
man3 zui3	39-36483-B
man3 zuo4	39-38266-B
man3 zuo4 ji4 ran2	39-36618-B
