san1 dai4 tong2 tang2	1-30162-B
san1 dao1	7-48187-S
san1 dao3 si4	68-45507-S
san1 deng3 fen1	1-38979-B
san1 deng3 fen1 jiao3	1-39063-B
san1 dian3 shui3	1-44971-B
san1 die2 ji4	1-43159-B
san1 du4	17-15793-S
san1 duan4 lun4	1-36364-B
san1 fa3 si1	1-37691-B
san1 fan1	22-57903-S
san1 fan1 wu3 ci4	1-38143-B
san1 fan1 zhi1 luan4	1-40816-B
san1 fang1	48-10065-S
san1 fen1	7-24933-S
san1 fen1 shu2	1-31178-B
san1 fen1 zhi1 er4	1-31113-B
san1 fen1 zhi1 yi1	1-31049-B
san1 fu2	1-30252-B
san1 fu2 hua4 peng2	1-36723-B
san1 gang1 wu3 chang2	1-39604-B
san1 ge4 dai4 biao3	1-30647-B
san1 geng1	10-56059-S
san1 gu4 mao2 lu2	1-44380-B
san1 gui4 jiu3 kou4	1-42832-B
san1 guo2 shi2 dai4	1-33013-B
san1 guo4 si4	6-33349-S
san1 hao4 dian4 chi2	1-41295-B
san1 hao4 mu4 gan1	1-41228-B
san1 he2 tu3	1-32613-B
san1 he2 xing1	1-32678-B
san1 he2 yi1	1-32471-B
san1 he2 yi1 yi4 miao2	1-32533-B
san1 huan2 lu4	1-37948-B
san1 huang2 pao4 chui2	1-38542-B
san1 huang2 wu3 di4	1-38373-B
san1 hun2	1-44800-B
san1 hun2 qi1 po4	1-44864-B
san1 ji2	1-39159-B,48-10438-S
san1 ji2 guan3	1-35862-B
san1 ji2 tiao4	1-39222-B
san1 ji2 tiao4 yuan3	1-39294-B
san1 ji4	48-10262-S
san1 ji4 du4	48-9979-S
san1 jia4	1-30860-B
san1 jiang1	23-20253-S
san1 jiao3	1-41538-B,36-55200-S,37-36270-S,42-44534-S,45-24049-S,64-7346-S
san1 jiao3 ban3	1-42130-B
san1 jiao3 ce4 liang2 fa3	1-42419-B
san1 jiao3 deng4	1-41641-B
san1 jiao3 fa3	1-42302-B
san1 jiao3 fu4 dai4	1-42591-B
san1 jiao3 guan1 xi4	1-42738-B
san1 jiao3 han2 shu4	1-41715-B
san1 jiao3 ji1	1-42512-B
san1 jiao3 jia4	1-39952-B
san1 jiao3 kong3 long2	1-41979-B
san1 jiao3 lian4 ai4	1-42060-B
san1 jiao3 xing2	1-41924-B,2-23882-S,2-28715-S,22-23015-S,45-24130-S,48-19416-S
san1 jiao3 xue2	1-41794-B
san1 jiao3 zhai4	1-41581-B
san1 jiao3 zhou1	1-42367-B,4-50102-S,29-14233-S,39-8829-S,42-45024-S,65-16311-S
san1 jiao3 zhu4 ti3	1-42222-B
san1 jiao3 zhui1	1-42665-B
san1 jiao3 zuo4	1-41852-B,10-65769-S
san1 jiao4	1-34806-B
san1 jiao4 jiu3 liu2	1-34868-B
san1 jie2 yi4	34-2797-S
san1 jing1	10-42232-S
san1 jing4 yi1	13-10784-S
san1 jiu3 tian1	1-29671-B
san1 ju4 qing2 suan1 na4	3-38651-S
san1 jun1	1-42972-B,66-33600-S
san1 lang2	17-24535-S,27-51112-S
san1 leng2 jing4	1-38844-B
san1 lian2 guan3	1-39898-B
san1 lian2 shu1 dian4	1-39820-B
san1 lin2 suan1	52-45563-S
san1 lin2 suan1 xian4 gan1	1-38747-B
san1 ling2	31-22362-S
san1 lu:4 hua4 lin2	1-36796-B
san1 lu:4 hua4 tie3	1-36874-B
san1 lu:4 yang3 lin2	1-37089-B
san1 lu:4 yi3 wan2	1-37020-B
san1 lu:4 yi3 xi1	1-36950-B
san1 lu:e4	7-69782-S
san1 lun2 che1	1-43029-B
san1 lun2 che1 fu1	1-43090-B
san1 mei4	1-35559-B
san1 min2 zhu3 yi4	1-36440-B
san1 ming2 zhi4	1-35313-B
san1 mu4 si4	32-47262-S
san1 nian2	1-34380-B
san1 qi1 er4 shi2 yi1	2-24028-S
san1 quan2 fen1 li4	1-35941-B
san1 ren2 cheng2 hu3	1-29980-B
san1 ri4	10-42163-S
san1 se4	1-40018-B
san1 se4 jin3	1-40063-B
san1 se4 zi3 luo2 lan2	1-40112-B
san1 she4	61-62965-S
san1 sheng1	48-10492-S
san1 shi2	1-31259-B,11-41420-B,48-9926-S
san1 shi2 ba1	1-31774-B
san1 shi2 er4	1-31537-B
san1 shi2 hao4	1-28164-S
san1 shi2 jiu3	1-31478-B
san1 shi2 liu4	1-31833-B
san1 shi2 liu4 zi4 mu3	1-31891-B
san1 shi2 nian2 lai2	1-32122-B
san1 shi2 qi1	1-31359-B
san1 shi2 san1	1-31418-B
san1 shi2 si4	1-32007-B
san1 shi2 tian1	1-32065-B
san1 shi2 wu3	1-31594-B
san1 shi2 wu3 yi4	1-31652-B
san1 shi2 yi1	1-31302-B
san1 shi2 yi4	1-31717-B
san1 shi4	1-29611-B
san1 shi4 jie4	48-9745-S
san1 shu1	49-6803-S
san1 si1 er2 hou4 xing2	1-34661-B
san1 suo3 jin3 she2	1-39378-B
san1 ti3 wen4 ti2	1-44714-B
san1 tian1	1-33307-B
san1 tian1 liang3 tou2	1-33352-B
san1 tiao2	57-12652-S
san1 tong1	1-43283-B
san1 tou2 ji1	52-14040-S
san1 wan4	1-40305-B
san1 wan4 qi1 qian1	1-40350-B
san1 wei2	1-39466-B
san1 wei2 kong1 jian1	1-39520-B
san1 wei4	48-9871-S
san1 wei4 bo2 shi4	1-30402-B
san1 wen2 yu2	1-34952-B
san1 wo1 si4	27-64128-S
san1 xia2	1-34134-B,65-16239-S
san1 xia2 ba4	1-33918-B
san1 xia2 ku4	1-33982-B
san1 xia2 shui3 ku4	1-34052-B
san1 xia4 si4	4-66995-S
san1 xian2	1-34426-B
san1 xiang4	1-44160-B,65-2232-S
san1 xiang4 quan2 neng2	1-44247-B
san1 xiang4 shi4	1-44316-B
san1 xiao1 ji1 jia3 ben3	1-38659-B
san1 xin1 er4 yi4	1-34599-B
san1 xing1	1-35367-B
san1 xue2 she4	3-17609-S
san1 xun2 jiu3 shi2	1-35002-B
san1 yan3	1-11876-S
san1 ye4 cao3	1-40490-B
san1 ye4 chong2	1-40548-B
san1 yi2 jiao4	1-33485-B
san1 yin1	1-44103-B
san1 yong4 biao3	1-38018-B
san1 yue4	1-35727-B
san1 yue4 er4 shi2 yi1 hao4	1-35778-B
san1 zhang1	49-5886-S
san1 zhang4	40-20102-S
san1 zhe2	1-13726-S
san1 zhuan4	31-34293-S
san3	6-28002-B,25-63587-S,30-6705-B,39-29286-S,40-55088-S,41-58912-S,48-62280-B,50-40501-B,60-44482-S,64-59026-B,65-45296-S,66-18064-S,66-34814-S,67-14054-S
san3 ban3	30-8746-B
san3 bing1	6-28041-B,30-7165-B
san3 bing1 you2 yong3	30-7255-B
san3 dan4	30-9935-B,34-42755-S
san3 fei3	30-7490-B
san3 guang1	30-7118-B
san3 hu4	30-8153-B
san3 hua4	30-9891-B
san3 ji4	30-7442-B,30-9830-B
san3 jia4	30-8822-B
san3 jian4	30-6930-B,30-9778-B
san3 ju1	30-7772-B
san3 jun1	6-28087-B
san3 man4	30-9111-B
san3 na4	13-23061-S
san3 qu3	30-8514-B
san3 sha1	30-9022-B
san3 she4	30-7728-B
san3 sui4	30-9499-B
san3 ti3	30-10087-B
san3 wen2	30-8414-B
san3 wen2 shi1	30-8459-B
san3 zhi2	30-9545-B
san3 zhuang1	30-9711-B
san3 zuo4 er5	30-7882-B
san4	1-4752-S,1-9623-S,2-15901-S,6-56311-S,8-53600-S,13-5629-S,14-50311-S,23-51277-S,27-18984-S,29-29163-S,30-6787-B,33-55129-S,33-57948-S,34-60376-S,36-31692-S,38-30418-S,41-2530-S,44-2328-S,44-29987-S,51-38269-S,51-54494-S,57-50189-S,62-63990-S,66-58166-S,67-9978-S,67-20368-S,68-55959-S,68-60641-S,69-56332-S,70-50129-S
san4 bo1	30-8280-B
san4 bu4	30-7074-B,30-8880-B
san4 chang3	30-7577-B
san4 chu1	30-7404-B
san4 cuo4 shi1	44-2424-S
san4 da3	30-8229-B
san4 de5 ce4 lu:e4	8-53783-S
san4 di4	66-58226-S
san4 fa1	30-9380-B
san4 feng1 liu2	67-18351-S
san4 gong1	30-7822-B
san4 he2 wu3 qi4 tiao2 yue1	2-12567-S
san4 hui4	30-8575-B
san4 huo3	30-6990-B
san4 jin4	30-9434-B
san4 kai1	30-10030-B
san4 luan4	30-6825-B
san4 luo4	30-9587-B
san4 men4	30-8040-B
san4 re4	30-9170-B
san4 re4 pian4	30-9326-B
san4 re4 qi4	30-9217-B
san4 she4	11-50059-S,33-58073-S,61-19098-S
san4 shi1	30-7631-B
san4 shi4	8-53661-S
san4 shi4 zi1 liao4 jie4 mian4	7-12360-S
san4 shu4	30-8650-B
san4 shu4 xue2	67-10093-S
san4 shui3	30-8944-B
san4 tan1 zi5	30-8349-B
san4 wang2	30-6877-B
san4 wang3 luo4	40-5102-S
san4 xi2	30-9662-B
san4 xi4	30-8107-B
san4 xin1	30-7968-B
san4 xing4	67-10036-S
san4 xue2	30-7681-B
san4 yi4	30-9988-B
san4 zhu4 yi4	8-53717-S
san5	70-26208-S
san5 wu4 liao4	70-26286-S
sang	8-37176-S,13-38998-S,13-46093-S,14-11440-B,14-11480-B,14-24006-B,15-31410-S,17-10524-S,18-6973-S,23-26457-S,25-61931-S,26-55973-S,28-57730-B,34-6066-B,37-18420-S,37-56371-S,38-44993-S,44-27158-S,46-36724-B,55-55344-S,55-55344-S,61-41166-S,68-45388-B,69-8131-S
sang ba	34-6322-B
sang bang	13-46203-S,14-12480-B,14-12551-B
sang bi ke	54-25740-S
sang dan	14-13343-B,51-57577-S
sang de	14-12167-B,42-38061-S
sang de la	11-15350-S
sang fu	14-12430-B,14-13017-B
sang gan he shang	17-61554-S
sang huang	14-13417-B
sang hun luo po	14-13916-B
sang hun shi po	14-13846-B
sang jia	14-11628-B
sang jia ni	15-69832-S,27-22010-S
sang jia zhi quan	14-12039-B
sang jiao che	31-48918-S
sang jin	14-13140-B
sang jin tian liang	14-13190-B
sang li	14-13302-B
sang lian	13-46279-S
sang liǎn	13-46279-S
sang men	14-24087-B
sang men shen	14-13737-B
sang men xing	14-13628-B
sang ming	14-11726-B
sang na	3-58114-S,34-6630-B,34-7162-B
sang na zhou	3-58032-S,3-58175-S
sang ni ya	15-53082-S
sang ou	2-48262-B
