司令部 司令部	12-23878-B
同意 同意	12-47705-B
同房	12-47769-S
同房 同房	12-47769-B
同文館 同文馆	12-47846-B
同文馆	12-47846-S
同日	12-47988-S
同日 同日	12-47988-B
同日而語 同日而语	12-48043-B
同日而语	12-48043-S
同时	12-48253-S
同时代	12-48319-S
同时期	12-48377-S
同時 同时	12-48253-B
同時代 同时代	12-48319-B
同時期 同时期	12-48377-B
同期	12-48451-S
同期 同期	12-48451-B
同样	12-48718-S
同桌	12-48589-S
同桌 同桌	12-48589-B
同業公會 同业公会	12-48644-B
同樣 同样	12-48718-B
同步	12-48775-S
同步 同步	12-48775-B
同步加速器	12-48820-S
同步加速器 同步加速器	12-48820-B
同步数位阶层	12-48896-S
同步數位階層 同步数位阶层	12-48896-B
同江	12-49008-S
同江 同江	12-49008-B
同治	12-49081-S
同治 同治	12-49081-B
同流合污	12-49154-S
同流合污 同流合污	12-49154-B
同济医科大学	12-49512-S
同济大学	12-49440-S
同源	12-49288-S
同源 同源	12-49288-B
同源詞 同源词	12-49358-B
同源词	12-49358-S
同濟大學 同济大学	12-49440-B
同濟醫科大學 同济医科大学	12-49512-B
同班	12-49609-S
同班 同班	12-49609-B
同班同学	12-49653-S
同班同學 同班同学	12-49653-B
同理	12-49720-S,12-49773-S
同理 同理	12-49720-B,12-49773-B
同理心	12-49813-S
同理心 同理心	12-49813-B
同甘共苦	12-49865-S
同甘共苦 同甘共苦	12-49865-B
同甘苦	12-50029-S
同甘苦 同甘苦	12-50029-B
同病相怜	12-50154-S
同病相憐 同病相怜	12-50154-B
同盟	12-50292-S
同盟 同盟	12-50292-B
同盟会	12-50415-S
同盟国	12-50336-S
同盟國 同盟国	12-50336-B
同盟會 同盟会	12-50415-B
同符合契	12-50473-S
同符合契 同符合契	12-50473-B
同等	12-50536-S
同等 同等	12-50536-B
同类	12-52829-S
同类相食	12-52887-S
同級 同级	12-50619-B
同素异形体	12-50686-S
同素異形體 同素异形体	12-50686-B
同级	12-50619-S
同義 同义	12-50761-B
同義反復 同义反复	12-50802-B
同義字 同义字	12-50866-B
同義詞 同义词	12-50917-B
同義語 同义语	12-50968-B
同翅目	12-51019-S
同翅目 同翅目	12-51019-B
同聲傳譯 同声传译	12-51108-B
同胞	12-51194-S
同胞 同胞	12-51194-B
同胞兄妹	12-51257-S
同胞兄妹 同胞兄妹	12-51257-B
同舟共济	12-51323-S
同舟共濟 同舟共济	12-51323-B
同行	12-51439-S,12-51522-S
同行 同行	12-51439-B,12-51522-B
同調 同调	12-51574-B
同謀 同谋	12-51690-B
同调	12-51574-S
同谋	12-51690-S
同質 同质	12-51799-B
同质	12-51799-S
同路	12-51845-S
同路 同路	12-51845-B
同軸 同轴	12-51897-B
