diàn xùn	67-36623-B
diàn xùn bào	36-5962-S
diàn xùn gōng sī	54-2814-S,67-36684-B
diàn yuán	4-50984-S,22-61634-B,67-32064-B
diàn yè	63-39552-S
diàn yí	18-11361-B
diàn yóu	15-56285-S,67-38111-B
diàn yóu dì zhǐ	67-38220-B
diàn yóu wèi zhi	67-38151-B
diàn yā	67-27230-B
diàn yā jì	67-27271-B
diàn yīn	67-39260-B
diàn yǐng	16-46222-S,20-27819-S,24-69131-S,67-29921-B
diàn yǐng diàn shì zǒng jú	15-5246-S,23-13405-S
diàn yǐng dǎo yǎn	67-30034-B
diàn yǐng jiè	67-30174-B
diàn yǐng jié	67-30323-B
diàn yǐng jù běn	67-29967-B
diàn yǐng piào	67-30262-B
diàn yǐng xué yuàn	10-28382-S
diàn yǐng yuàn	67-30451-B
diàn yǐng yǎn yuán	67-30105-B
diàn yǐng zhì zuò	67-30383-B
diàn yǒng	67-31962-B
diàn yǔ	50-23943-S
diàn zhuàn pán	67-38042-B
diàn zhàn	11-32688-S,15-42622-S,19-61539-S,33-63611-S,36-39364-S,36-47775-S,44-35473-S,59-12615-S,65-26985-S,67-33639-B
diàn zhào míng	67-32265-B
diàn zhá	67-38710-B
diàn zhī	16-24247-B
diàn zhū	67-32637-B
diàn zhǔ	22-61423-B
diàn zi	16-24047-B,35-39773-S
diàn zi fā shè céng xī	35-40010-S
diàn zǐ	6-53762-S,7-13716-S,24-22294-S,31-12536-S,67-27324-B
diàn zǐ céng	67-27926-B
diàn zǐ céng shù	67-28000-B
diàn zǐ fú	7-1130-S,12-42013-S,67-27377-B
diàn zǐ fú tè	67-27475-B
diàn zǐ fā shè duàn céng zhào xiāng shù	35-40133-S
diàn zǐ guǎn	67-28747-B
diàn zǐ gōng chéng	67-28162-B
diàn zǐ gōng yè	67-28086-B
diàn zǐ huò bì	67-28984-B
diàn zǐ jì suàn jī	67-28899-B
diàn zǐ kē jì dà xué	67-28548-B
diàn zǐ kōng jiān	67-28679-B
diàn zǐ qín	67-28487-B
diàn zǐ shù	67-28425-B
diàn zǐ shù jù jiāo huàn	67-28243-B
diàn zǐ shāng wù	67-27803-B
