堭	16-8121-S
复旦大学	24-14520-S
复旧	24-15954-S
复本	57-5968-S
复杂	57-6541-S
复杂化	57-6592-S
复杂性	57-6658-S
复杂系统	57-6712-S
复查	24-14650-S
复核	24-16079-S
复比	57-6005-S
复活	24-14776-S
复活的军团	24-14821-S
复活节	24-14958-S
复活节岛	24-15008-S
复现	24-15076-S
复生	24-15144-S
复眼	57-6080-S
复线	24-15343-S
复职	24-15505-S
复苏	24-15191-S
复萌	24-16027-S
复视	24-16185-S
复议	24-16418-S
复诊	24-16240-S
复试	24-16315-S
复读	24-16463-S
复读生	24-16509-S
复课	24-16369-S
复赛	24-16590-S
复转	24-16668-S
复辟	24-16755-S
复述	24-16853-S
复音形	57-6780-S
复韵母	57-6842-S
夏	16-39983-S,16-40012-S
夏 夏	16-39983-B,16-40012-B
夏令	16-40119-S
夏令 夏令	16-40119-B
夏令时	16-40175-S
夏令時 夏令时	16-40175-B
夏令營 夏令营	16-40253-B
夏令营	16-40253-S
夏利	16-40311-S
夏利 夏利	16-40311-B
夏历	16-40849-S
夏县	16-41572-S
夏士莲	16-40349-S
夏士蓮 夏士莲	16-40349-B
夏天	16-40422-S
夏天 夏天	16-40422-B
夏威夷	16-40463-S
夏威夷 夏威夷	16-40463-B
夏威夷岛	16-40513-S
夏威夷島 夏威夷岛	16-40513-B
夏威夷州	16-40581-S
夏威夷州 夏威夷州	16-40581-B
夏娃	16-40642-S
夏娃 夏娃	16-40642-B
夏季	16-40678-S
夏季 夏季	16-40678-B
夏敬渠	16-40717-S
夏敬渠 夏敬渠	16-40717-B
夏时制	16-40784-S
