shěng yuán	45-33801-B
shěng zhì	45-34322-B
shěng zhǎng	45-34943-B
shěng zì hào	45-33916-B
shī	1-17028-S,1-28740-S,1-40699-S,2-45646-S,3-29605-S,4-63646-S,5-37189-S,5-60574-S,6-5246-S,6-52550-S,7-56413-S,8-6764-S,8-10721-S,8-39151-S,8-55040-S,10-33160-S,10-45394-S,11-12472-S,11-54014-S,11-59850-S,12-5261-S,12-22719-S,12-56069-S,13-3926-S,13-31733-S,13-52889-S,14-11870-S,15-47893-S,16-677-S,16-9842-S,16-31909-S,17-16684-S,17-64154-B,18-20778-S,18-22366-S,18-22880-S,18-24975-S,19-44487-S,19-62300-S,20-13361-S,20-43112-S,20-58492-S,21-11212-B,21-20722-B,21-30852-S,21-31492-S,21-56763-S,21-62872-S,21-64416-S,22-15789-S,22-26026-B,22-61312-S,23-6317-S,23-11123-S,23-22477-S,23-66386-S,23-66624-S,24-6164-S,24-7387-S,25-2364-S,25-12113-S,25-15576-S,25-17874-S,25-43505-S,25-59593-S,26-63142-S,26-67369-S,27-44712-S,27-49336-S,28-21005-S,28-34105-S,28-49540-S,28-52494-S,29-34550-S,30-2384-S,30-7631-S,30-8459-S,30-65228-B,31-31138-S,32-23335-S,32-24980-S,32-52210-S,32-54571-S,33-62005-S,34-32537-S,34-48151-S,35-2239-S,35-57106-S,36-11009-S,36-40498-S,36-47535-S,37-31142-S,38-2864-S,38-8172-B,38-22474-S,38-29877-S,38-41256-S,39-23527-B,39-25280-B,39-38196-S,39-61687-S,39-63412-S,40-8229-B,40-10179-S,40-45154-S,40-61520-S,41-42625-S,41-51936-S,42-15771-B,42-46848-S,42-55975-S,42-57107-S,42-59240-S,43-27425-S,43-46395-S,44-2424-S,44-46395-S,44-54922-S,45-64437-S,46-9121-S,47-7422-S,49-35046-B,50-48703-S,51-7629-S,51-9518-S,51-27736-S,51-51004-S,53-32740-S,53-46340-S,54-46354-S,54-60924-B,54-62909-S,55-6686-B,55-33631-S,55-56917-B,56-8231-B,56-8259-B,56-24930-S,56-53893-S,57-18314-S,58-2046-S,58-2371-S,58-13895-B,58-23296-S,58-25192-S,58-25719-S,58-54495-S,59-35436-S,60-1534-S,60-10923-S,60-63536-S,61-3379-S,61-53967-S,61-68194-S,62-44417-S,62-56603-S,63-2331-S,63-20546-B,63-49994-S,63-52170-B,64-40638-S,65-25154-S,68-18430-S,68-31103-S,68-39764-S,68-56153-S,69-52401-S,69-58223-S,70-36330-S,70-46264-B,70-51540-B
shī biǎo	22-26686-B,40-31955-S
shī bài	17-65653-B
shī bài shì chéng gōng zhī mǔ	17-65717-B
shī bài zhě	17-65850-B
shī bù	57-3545-S
shī bān	13-55910-S,21-11289-B
shī bǐng	30-66410-B
shī chuán	17-64507-B
shī cháng zhèng	57-56133-S
shī chéng	42-15798-B
shī chǒng	17-65115-B
shī cuò	17-65460-B,69-61806-S,69-62058-S
shī cí	58-14680-B
shī diàn	30-66346-B
shī diào	17-65367-B
shī duō bù yǎng	56-8287-B
shī dà	22-26217-B
shī dài jìn	14-11917-S
shī dàng	17-66386-B
shī dì	17-64911-B,40-8261-B,71-8102-S
shī dì guó jiā zì rán bǎo hù qū	27-26789-S
shī dì gōng yuán	69-27472-S
shī dì lì ěr	30-66669-B
shī dì lì ěr zhōu	30-66748-B
shī dì qū	25-2613-S
shī dòng zhòng	69-60570-S,69-60672-S
shī dù	40-8353-B,45-28237-S,49-46574-S
shī dú	6-63614-S
shī dú zhèng	17-67699-B
