dùn dà xué	31-48666-S,37-38024-S,54-41007-S
dùn dǎo	12-20792-S
dùn guó jiā gōng mù	66-13818-S
dùn gōng xué	4-52460-S
dùn hào	68-32985-B
dùn hé	68-32800-B
dùn jié	67-17589-S
dùn jiǎo	64-21247-B
dùn lì xué	41-49452-S
dùn niè cí kè	68-32924-B
dùn niè sī kè	68-32842-B
dùn pái	45-32822-B
dùn pái zuò	45-32877-B
dùn shí	68-32737-B
dùn shí bào	54-35227-S
dùn tè qū	54-35324-S
dùn wén xué jiǎng	54-7606-S
dùn wù	68-32536-B
dùn wǔ dào zhèng	33-12694-S
dùn xué	38-54486-S
dùn yóu bào	54-35427-S
dùn zhōu	54-35152-S
dùn zú	28-8706-S,68-33091-B
dú	2-18592-S,2-74674-S,3-2654-S,3-18315-S,3-38482-S,4-18418-S,4-37856-S,4-51044-S,6-1337-S,6-63614-S,7-17409-S,8-10013-S,9-14804-S,9-33796-S,10-57442-S,11-55158-S,13-3752-S,13-55106-S,14-19609-S,14-20511-S,14-46152-S,15-57686-S,17-53257-S,18-914-S,18-40977-S,19-13296-S,19-38737-S,19-55742-S,20-23168-S,20-61071-S,21-10836-S,21-24234-S,21-61820-S,22-14741-S,24-16463-S,24-58527-S,25-17325-S,25-22061-S,25-36172-S,25-47536-S,26-13991-S,27-6229-S,27-24060-S,27-33289-S,27-47169-S,27-52960-S,29-48033-S,30-23114-S,32-11403-S,32-36043-S,32-43738-S,32-45283-S,32-55576-S,33-19366-S,33-43194-S,33-47952-S,34-11065-S,35-16776-B,35-55664-S,35-64793-B,36-6859-B,37-36568-S,38-3541-S,38-30697-S,39-48183-S,39-48628-S,40-12776-B,41-46343-B,42-1812-B,42-2651-S,42-8031-S,42-13939-S,42-17727-B,43-41952-S,43-63443-S,44-10885-S,44-25562-S,45-923-S,46-14989-S,46-20221-S,46-29487-B,46-51780-S,47-1026-S,48-29744-S,48-58366-S,49-33097-S,49-52480-S,52-5229-S,52-44425-S,52-45755-S,53-20703-S,53-48026-S,53-48130-S,54-20642-S,55-31315-S,56-2816-S,56-18802-S,56-55306-S,57-9333-S,57-18187-S,57-50723-S,57-52446-S,58-30682-S,58-30914-S,58-33980-B,59-5968-B,59-15050-B,59-38553-S,60-4588-B,63-53787-S,64-777-S,65-49712-S,65-61053-S,66-67396-S,67-34593-S,67-62503-S,68-13602-B,68-15624-S,69-2712-S,69-8415-S,69-39567-S,70-4357-B,71-21394-S,71-37104-S,71-46223-B,71-51860-S
dú bà	42-21978-B
dú bà yī fāng	42-22085-B
dú bào	59-6059-B
dú bái	42-20282-B
dú bù	42-19826-B
dú bù pà hǔ	9-785-S
dú bù yàn	44-57449-S
dú bù zhàng fu	40-55615-S
dú běn	59-6356-B
dú bǐ mò	21-24292-S
dú chuàng	42-18508-B
dú chàng	42-18581-B
dú chū xīn cái	42-18392-B
dú chū yī shí	42-18285-B
dú chǔ	42-21323-B
dú cái	42-21442-B
