too hard	25-23230-S
too hard on subject	2-17994-S
too harshly	26-31683-S
too horrible to endure 成语 saw	25-46843-S,25-46988-B
too inquistive about other people s business	48-27373-S
too late	1-74745-S,3-66287-S,21-9927-S,52-60441-S
too late to be effective	29-53474-S
too late to change anything now	43-28366-S,43-28618-S
too late to do anything	2-34552-B
too late to do sth	5-16975-S
too lenient with sb	69-12555-S,69-12695-S
too long	1-66020-S
too many	62-44304-B
too many cooks spoil the broth	4-13833-B
too many good things to see	45-15431-B
too many to count	32-7099-B
too much	2-33314-S,11-67198-S,17-55674-B,17-57565-B,32-56503-S,40-65164-S,58-58381-S,62-45986-B,62-48249-S,69-19410-S
too much deception in war	8-369-S
too much for the eye to take in 成语 saw	45-15306-S
too much to part with it	25-32509-S
too numerous to mention individually or one by one	1-73899-B
too old	22-48329-S,60-25271-B
too old to learn	37-63678-S
too pitiful to behold	45-15041-S,45-15174-S
too sad for words 成语 saw	50-46223-B
too seriously	18-33654-S,43-66415-S,43-66574-S
too shred	29-9325-B
too slow to meet a pressing need	50-22471-B
too smart for one s own good	51-64742-B
too soon	34-49233-S,40-32545-B
too strict with me	26-31683-S
too terrified to move	64-984-B
too weak to stand up to the wind 成语 saw	23-36301-B
too well	2-3234-S
took over as qing dynasty in 1644	24-2637-S
took over as the qing dynasty in 1644	64-8410-S
took over france	37-33275-S
tooker motorola chairman of the board	15-26076-S
tool	1-24962-S,6-29867-B,8-4561-B,9-5024-S,12-26717-S,14-34829-B,21-54123-B,26-34948-S,35-3321-S,36-4038-S,45-24223-S,45-24299-S,46-5008-S,64-32137-S,64-35445-S,65-7180-S
tool for shaping metal	64-34620-S
tool handle	33-35349-B
tool made of forked wood	2-48419-B
tool to measure angles	57-45005-S
tool to measure right angles	32-4542-S,45-65178-S,57-44670-S,64-40280-S
toolbox	21-54267-B
tools	34-16541-B,61-39848-S
tools kept in reserve	6-28472-S
toot	14-30420-B,14-30451-S
tooth	1-47202-S,3-22610-S,3-22610-S,3-22610-S,3-23769-S,3-23769-S,3-23769-S,8-62081-S,9-22449-S,21-6117-S,24-67753-S,31-57830-S,33-30633-S,41-46374-B,41-47262-B,42-2137-S,46-41164-S,53-21166-S,56-57733-S,61-16958-S,71-54858-B,71-54886-S,71-55067-S
tooth and nail	27-52050-B
tooth as opposed to deciduous tooth 乳牙	24-67753-S
tooth enamel	42-60254-B
tooth for a tooth retaliation	4-38100-S
tooth immediately behind canine teeth in some mammals	9-23313-S
tooth of cog wheel	61-16958-B
tooth retaliation	4-38100-S
tooth stopped	56-57733-S
tooth 乳牙	24-67753-S
toothache	41-46727-B
toothbrush	41-46486-B
toothed	71-56636-S,71-56684-S
toothed comb	48-34272-S,48-34319-S
toothpaste	41-47021-B,46-2140-S,58-36395-S
toothpick	41-46889-B,41-46932-B
tooting noise	14-30451-B
top	1-45053-S,1-56597-S,1-62385-S,21-5729-B,21-6254-S,21-33548-S,28-6447-S,55-4968-B,66-14933-S,68-891-B,68-19696-B,68-19900-S,68-20212-B,68-35986-S,71-47716-S
top and bottom	1-45369-B
top box	35-5961-S
top brass	70-20052-B
top can	31-27966-S
top commander of air force	47-50044-B
top down processing	52-63037-B
top down search	15-55361-B
top figures in a certain field	68-20086-B
top floor	68-20284-B
top gear	70-22448-B
top gem of pendant from girdle	42-46125-B
top general	1-48674-B
top grade worker	7-52246-B
top knot	70-28329-S
top level	68-20688-B
top margin	1-56597-S
top margin on a page	32-11668-B,45-36536-B
top marks for studies and for behaviour at school	13-33678-B
top military commander for a country or theater of operations	50-32484-B
top millionaire	69-21723-B
top notch	1-54692-B,27-33083-B
top of	1-57126-S,1-57305-S
top of a building	68-20284-S
top of a cart	61-31324-S
top of another	67-15405-S
top of head	70-28276-S
top of mesosphere	2-75003-B
top of socks	50-56011-S
top of that	9-50978-S
top of the chest	52-24454-S
top of the head	68-36444-B,68-40304-B,68-45427-B
top of the page	45-35658-S
top of the scull	68-20975-S
top of troposphere	20-52279-B
top of webpage	14-58344-S
top of wooden stakes	35-7361-S
top official	22-34220-S
top part of a tablet	46-28850-S
top priority	41-58495-B
top quality	1-13950-B,41-61249-B,41-61486-B
top quality wine	43-8016-B
top quark phys 	68-20024-B
top rank	68-39624-B
top seat	1-46068-B
top secret	46-55485-B,49-46056-B
top soil dressing	61-59417-B
top speed	7-42227-B,40-24757-S
top strategist of wu	12-69308-S
top to bottom	24-29757-S,50-30803-S
top you exaggerate	32-56503-S
topaz	54-11152-B,55-28824-S,71-21773-B
topaz aluminum fluorosilicate	55-28824-B
topcoat	17-34669-B
tophus fully hydrated copper aluminium phosphate	33-28374-B
topic	2-34293-S,11-55677-S,13-20450-S,13-63299-B,20-42034-S,27-65304-S,31-63841-S,38-34675-S,38-56066-S,38-56232-S,58-15897-S,58-16195-S,58-16401-B,58-28031-B,58-44957-B,59-3943-B,60-14649-S,61-27153-S,63-59053-S,65-57941-S,68-42769-B,68-43094-B
topic again	63-58324-S,63-59111-S
topic bringing bad luck	40-39840-S
topic from a certain point of view	5-18624-S,5-19307-S
topic of a lecture	58-55762-B
topic of discussion	57-63554-B,59-3943-B
topic to put over one s own ideas	6-2105-S
topic under discussion	58-16323-B
topknot	2-48604-B
topmost branches of a tree	34-52202-S
topography	15-40672-B
topological space	63-35001-S
topological space in math 	1-47719-S,12-51574-S
topological space math 	27-32445-B
topology	22-56578-S,22-56657-S
topology math 	4-31675-S,27-32306-B,27-32385-B
topology of a network elec 	27-32306-B
topped waterproof boots	38-35108-S
topping	27-35147-B,31-64328-S
topple	5-54933-S,5-55863-B,6-49591-S
topple i e knock over	68-46619-S
topple over	5-55181-S,6-46172-S
topples the monkeys scatter 成语 saw	34-60376-S
topside	27-10238-S
topsoil	56-43651-B
topsy turvy	3-27214-B
topsy turvy and inequitable	5-57439-S
torabora mountain area in east afghanistan	57-65430-B
torch	26-36834-B,26-36886-S,36-32132-S,36-32208-S,36-32919-S,40-22234-B,40-29809-B,40-42808-S,41-36718-B
torch in a torchlit procession	40-21382-S,40-21449-S
torch 成语 saw	4-26737-S
torchbearer	40-22272-B
torchlit procession	40-21382-S,40-21449-S
toringo	34-8683-S
torino	63-28064-B
torment	10-58847-S,27-9690-S,28-35614-S,28-35675-S,46-39366-S,46-41073-S,54-20642-B
torment sb	27-11145-S
torments	11-63906-B
torments of buddhist hell while still alive	4-17753-S
torn	8-2745-S
tornado	31-1842-B,71-59756-B
torobiawan	13-36078-B,13-36145-B
