chuán	1-55128-S,2-37921-S,3-14025-S,4-30348-S,4-57225-B,6-15090-S,6-33187-B,8-2373-S,8-19624-S,8-65436-S,10-17563-S,11-44564-S,11-55907-S,11-67482-S,12-53496-S,13-61250-S,17-60307-S,17-60575-S,17-64507-S,19-21023-S,19-53782-S,19-64414-S,20-69934-S,22-19539-S,23-10428-S,27-37470-S,27-38198-S,28-5863-S,31-58649-S,34-26834-B,34-51589-S,36-4379-S,36-27792-S,36-45421-S,37-1148-S,38-2072-S,38-11915-S,38-23488-S,39-2250-S,39-2330-S,39-42714-S,40-16287-S,43-48677-S,45-4384-S,45-26882-S,45-65598-S,46-16738-S,46-52469-S,51-22861-S,53-36171-S,53-37621-B,53-39834-S,57-644-S,58-57932-S,58-58538-S,59-38027-S,60-1729-S,60-52921-S,61-16624-S,61-27433-S,62-19001-S,62-35444-B,62-36128-S,63-1687-S,65-40945-S,66-59433-S,68-6140-S,68-25632-S,68-64739-S,69-46968-S,70-38270-S,71-61573-S
chuán biàn	6-41803-B
chuán bó	53-38585-B
chuán bó gōng sī	2-55963-S
chuán bó mào yì gōng sī	2-63348-S
chuán bó zhòng gōng jí tuán gōng sī	2-63495-S
chuán bù	2-50728-S,2-54596-S,2-66210-S,6-35715-B
chuán bāng dài	6-35787-B
chuán běn	6-36917-B
chuán bō	6-36570-B,17-28973-S,24-61153-S
chuán chàng	6-34782-B
chuán chéng	6-36224-B
chuán chāo	6-36363-B
chuán chū	6-34014-B
chuán chū shén jīng	6-34087-B
chuán chǎng	62-19049-S
chuán cè	19-53865-S
chuán duì	53-38788-B
chuán duō xíng xìng	67-68170-S
chuán dài	6-33590-B
chuán dào	6-41853-B
chuán dào bù	6-42131-B
chuán dào shū	6-41969-B
chuán dào zhě	6-42065-B
chuán dá	6-42184-B
chuán dá shì	6-42290-B
chuán dá yuán	6-42225-B
chuán dì	6-42350-B,9-45349-S,9-45702-S
chuán dì zhě	6-42418-B
chuán dì zhōng jiè	57-61065-S
chuán dòng	6-34223-B,44-65414-S
chuán dòng dài	6-34354-B
chuán dòng qì	6-34293-B
chuán dòng zhóu	6-34419-B
chuán dān	6-34932-B
chuán dān guǎng	6-34975-B
chuán dēng	6-37664-B
chuán dǎo	6-35672-B,41-17804-S
chuán dǐ zuò	53-38091-B
chuán fó jiào	55-30692-S
chuán fān zuò	53-38024-B
chuán fāng	19-14443-S
chuán fěn	6-38337-B
chuán fū	53-37855-B
chuán guān	6-39396-B
chuán gào	6-34530-B
chuán gěi	6-38397-B
chuán gōng chéng	63-1808-S
chuán gōng shì	19-53958-S
chuán gǎn	6-36026-B
chuán gǎn qì	6-36091-B,43-23354-S
chuán huà	6-39697-B
chuán huà rén	6-39776-B
chuán huàn	6-34861-B
chuán huò	53-38634-B
chuán hū	6-34597-B
chuán hū diàn huà	6-34678-B
chuán jiàn	6-39333-B
chuán jiào	6-36642-B
chuán jiào shì	6-36783-B
chuán jiào tuán	6-36701-B
chuán jiè	6-36154-B
chuán jiā	6-35385-B
chuán jiā bǎo	6-35455-B
chuán jiǎng	6-40051-B
chuán jīng	6-38805-B
chuán kāi	6-42560-B
chuán liú	6-37435-B
chuán lái	6-33769-B
chuán lìng	6-33656-B
chuán lìng bīng	6-33713-B
chuán lǎo dà	53-38502-B
chuán méi	6-35253-B
chuán míng	6-34479-B
chuán piào	6-38230-B
chuán qiú	6-37731-B
chuán qiān lǐ	25-18892-S
chuán qí	6-35052-B,49-16144-S,63-27174-S,63-27630-S,70-35514-S
chuán qí rén wù	6-35160-B
chuán qíng	6-35937-B,45-36367-S
chuán rè	6-37506-B
chuán rén	4-6378-S,6-33514-B
chuán rù	6-33821-B
chuán rù shén jīng	6-33894-B
chuán rǎn	6-36997-B,68-63966-S
chuán rǎn bìng	6-37179-B
chuán rǎn bìng xué	6-37275-B
chuán rǎn xìng	6-37050-B
chuán rǎn yuán	6-37109-B
chuán shuō	6-39978-B,36-23473-S
chuán shàng	53-37664-B
chuán shén	6-38179-B
chuán shì	6-33432-B
chuán shì gù	37-7262-S
chuán shòu	6-36439-B
chuán shù	6-41558-B
chuán shān dòng zuì	11-56009-S
chuán shēng	6-39035-B
chuán shēng qì	6-39103-B
chuán shēng tǒng	6-39161-B
chuán shū	6-40263-B,30-22144-S,59-51154-S
chuán shū céng	6-40648-B
chuán shū fú wù	6-40985-B
chuán shū guò chéng zhōng	15-34081-S
chuán shū gē	6-36841-B
chuán shū jì shù	6-40711-B
chuán shū jù lí	6-41313-B
chuán shū kòng zhì	6-40791-B
chuán shū kòng zhì xié dìng	6-40870-B
chuán shū lǜ	6-41148-B
chuán shū méi jiè	6-40421-B
chuán shū méi tǐ	6-40572-B
chuán shū méi zhì	6-40495-B
chuán shū mó shì	6-41058-B,43-62228-S,67-63717-S
chuán shū shè bèi	6-41211-B
chuán shū sù lǜ	6-41466-B
chuán shū tōng dào	6-41390-B
chuán shū xié dìng	6-40321-B,35-11535-S,60-20957-S,60-21138-S
chuán suàn fǎ	11-44258-S
chuán sòng	6-39910-B,6-41612-B,6-42687-B,57-61337-S
chuán sòng dài	6-41669-B,31-1208-S,56-33780-S
chuán sòng fú wù	6-41730-B,57-61409-S,59-51229-S,67-29212-S
chuán sòng lùn tán	57-61611-S
chuán sòng wǎng lù	57-61509-S
chuán sòng xié yì	60-21263-S
chuán sān guò sì	6-33349-B
chuán tóu	53-38840-B
chuán tōng xùn shè	15-16789-S
chuán tǒng	6-38455-B,30-26141-S
chuán tǒng cí lèi	6-38622-B
chuán tǒng yī yào	6-38717-B
chuán tǒng zhōng guó yī yào	6-38512-B
chuán wén	6-38994-B
chuán wù	53-37812-B
chuán wù zhì	63-2047-S
chuán wěi	53-37897-B
chuán wěi zuò	53-37955-B
chuán xiāo	6-42502-B
chuán xiě	6-35611-B
chuán xué	63-1754-S
chuán xìng	63-1887-S
chuán xìng jí bìng	63-1962-S
chuán xí	6-37346-B,6-38918-B
chuán xùn	6-39524-B
chuán xīn shù	6-35881-B
chuán yuán	53-37757-B
chuán yuè	6-42609-B
chuán yán	6-39475-B
chuán yáng	6-36505-B
chuán yáo	6-40098-B
chuán yì	6-39261-B,6-40141-B,12-51108-S
chuán yíng	53-38334-B
chuán yíng qū	53-38413-B
chuán yǔ	6-39851-B
chuán zhá	53-38740-B
chuán zhèng dà chén	53-38159-B
chuán zhèng xué táng	53-38253-B
chuán zhēn	6-37855-B
chuán zhēn diàn bào	6-38106-B
chuán zhēn fā sòng	6-37963-B
chuán zhēn hào mǎ	6-38038-B
chuán zhēn jī	6-37905-B
chuán zhēng	62-35488-B
chuán zhī	53-37708-B
chuán zhōu	31-18419-S
chuán zhǎng	22-65948-S,53-38675-B
chuán zhǒng	6-38274-B
chuán zuì	11-44661-S
chuán zōng jiē dài	6-35294-B
