ji2 shu1	18-18601-S,44-7017-B
ji2 shu4	8-15885-S,48-18443-S,48-18886-S,48-24622-S,66-58475-B
ji2 shu4 zha4 dan4	66-58518-B
ji2 shui3	36-64638-B
ji2 si1	12-41283-S
ji2 si1 guang3 yi4	66-57782-B
ji2 si1 han4	26-8910-S
ji2 si1 ren2	12-41354-S
ji2 si1 si1 tan3	12-41507-S
ji2 si1 tan3	12-41433-S
ji2 si1 zu2	12-41591-S
ji2 su4	8-28793-S,24-60260-B,44-7556-B
ji2 sui3 hui1 zhi4 yan2	52-31432-B
ji2 suo3 de2	26-29765-S
ji2 ta1	12-38822-B,12-39389-B,59-29828-S,67-26621-S
ji2 tai4 lai2	12-66745-S
ji2 ti3	7-6204-S,66-60332-B
ji2 ti3 fang2 hu4	66-60599-B
ji2 ti3 hu4	66-60531-B
ji2 ti3 hua4	61-41852-S,66-60439-B
ji2 ti3 wu3	60-45701-S
ji2 ti3 zhu3 yi4	66-60374-B
ji2 tiao4	1-39222-S
ji2 tiao4 yuan3	1-39294-S
ji2 tou2	1-17419-S,3-40691-S
ji2 tou2 hu1 xi1 qi4	6-29085-S
ji2 tu2	17-59378-S
ji2 tu2 shuo1	17-59471-S
ji2 tuan2	1-26914-S,1-52645-S,4-47046-S,9-7746-S,10-37473-S,10-38385-S,19-38844-S,20-31043-S,38-4291-S,42-49254-S,44-51840-S,44-60048-S,51-7264-S,51-61620-S,54-35594-S,60-44061-S,66-57194-B
ji2 tuan2 jun1	66-57250-B
ji2 wei1 hai4	50-14464-S
ji2 wei2	11-24960-B,34-35498-B
ji2 wei2 pang2 da4	34-35552-B
ji2 wei4	11-23983-B
ji2 wo1 xuan2	43-5849-S
ji2 wu1	25-33806-S
ji2 wu4	11-42576-B,24-57847-B
ji2 wu4 dong4 ci2	1-74866-S,11-42618-B
ji2 wu4 ru2 chou2	44-6890-B
ji2 xi2	24-59663-B
ji2 xi4 xiao3	34-35803-B
ji2 xian1 feng1	24-57498-B
ji2 xian4	34-36291-B,36-49320-S
ji2 xian4 qi4	66-58975-B
ji2 xiang2	12-41702-B
ji2 xiang2 wu4	12-41742-B
ji2 xiao3	34-34777-B
ji2 xiao3 xue2	9-1358-S
ji2 xing1	10-32638-S
ji2 xing2 jun1	24-59592-B
ji2 xing4	11-25078-B,24-58334-B,32-33986-S,34-35116-B,47-39739-S
ji2 xing4 bing4	24-58711-B
ji2 xing4 chang2 yan2	24-58795-B
ji2 xing4 qing2 hua4 wu4 zhong1 du2	24-58527-B
ji2 xing4 ren2	24-58373-B
ji2 xing4 zhao4 she4	24-58640-B
ji2 xing4 zi5	24-58451-B
ji2 xiong1	12-39010-B,47-2299-S
ji2 xiong2	10-32701-S
ji2 xu1	24-60336-B
ji2 xun4	66-59509-B
ji2 ya4	34-347-S
ji2 ya4 ren2	34-428-S
ji2 yan2 jiu1	70-19907-S
ji2 yan3	24-59507-B
ji2 yao4	24-59708-B
ji2 yao4 pin3 guan3 li3 ju2	69-2785-S
ji2 ye4	52-40647-S
ji2 ye4 cheng2 qiu2	66-59151-B
ji2 yi1 shi2	45-5370-S
ji2 ying1 bian4	50-14533-S
ji2 ying4 yong4	36-360-S
ji2 yong4	11-24579-S,24-59435-B
ji2 you2	11-25039-B,40-7709-S,66-60007-B
ji2 you4 fen4 zi3	34-34496-B
ji2 yu2	9-53078-S,24-59074-B
ji2 yu2 qiu2 cheng2	24-59123-B
ji2 yu3 yan2	4-68986-S,70-19979-S
ji2 yuan1 hun2	71-32313-S
ji2 yue1	66-58762-B
ji2 yun4	66-59815-B
ji2 zao3	11-24721-B,11-42378-B
ji2 zao4	24-58064-B,24-59884-B
ji2 zha4 dan4	63-14443-S
ji2 zhan4 fan4	43-41411-S
ji2 zhao4	12-38966-B
ji2 zhao4 she4	25-59666-S
ji2 zhe5	24-59552-B
ji2 zhen3	24-59747-B
ji2 zhen3 shi4	24-59825-B
ji2 zhen4	66-60147-B,66-60185-S
ji2 zhi1 wu4	2-9683-S
ji2 zhi1 xia4	25-13645-S
ji2 zhi2	34-34146-B
