九江市	23-15990-S,23-16066-S,39-63829-S,39-63907-S
乡	63-26549-S
书札	32-10016-S
书经	58-14140-S
书经 and classic of rites 禮記 礼记	58-14311-S
书经 book of history	21-7243-S,32-9714-S
乳牙	24-67753-S
了	13-29418-S,14-29364-S
了 le	14-37580-S
争	58-43470-S
事	3-29331-S
二叠纪	3-41884-S
二恶英	3-35158-S
二惡英 二恶英	3-35158-S
二疊紀 二叠纪	3-41884-S
二重奏 or trio 三重奏	63-57487-S
云南 province in southwest china	39-26816-S,67-17799-S
五台山 in shanxi	14-47586-S
五岳	21-37066-S
五嶽 五岳	21-37066-S
五帝 of myth and legend	1-38373-S
五斗	43-36539-S
五斗 before tang	30-35771-S
五瘟神	3-55948-S
五笔字型	3-52342-S,3-52529-S
五筆字型 五笔字型	3-52342-S,3-52529-S
五胡十六国	10-44624-S
五胡十六國 五胡十六国	10-44624-S
五臺山 五台山 in shanxi	14-47586-S
亚	3-57533-S
亚伯拉罕	31-27342-S
亚当·斯密	15-8200-S
亚洲周刊	3-61345-S
亞 亚	3-57533-S
亞伯拉罕 亚伯拉罕	31-27342-S
亞洲周刊 亚洲周刊	3-61345-S
亞當·斯密 亚当·斯密	15-8200-S
交匯 交汇	3-68155-S
交汇	3-68155-S
交流	3-71963-S
交警	3-72739-S
交通警察	3-71812-S
产	43-33374-S
亩 or 6 6667 hectacres	68-21088-S
京沪高速铁路	4-3555-S
京滬高速鐵路 京沪高速铁路	4-3555-S
人壽保險 人寿保险	16-39607-S
人寿保险	16-39607-S
人尽其才	4-14927-S
人工流产手术	4-13607-S,4-13718-S
人工流產手術 人工流产手术	4-13607-S,4-13718-S
人才	4-10590-S,4-15763-S
人材	4-9911-S
人民日报	4-12944-S
人民警察	36-22950-S
人民警察 人民警察	36-22950-S
人盡其才 人尽其才	4-14927-S
人馬座 人马座	20-35330-S
人马座	20-35330-S
什么	4-19932-S,4-19989-S
什么时候	4-20046-S
从	24-5835-S
仓皇	55-4335-S
仙	6-50111-S
以西結書 以西结书	31-33426-S
以西结书	31-33426-S
价	5-26000-S
伊丽莎白	4-51197-S,4-51299-S
伊犁哈萨克自治州	4-50395-S
伊犁哈薩克自治州 伊犁哈萨克自治州	4-50395-S
伊通满族自治县	4-51830-S,4-52099-S
伊通滿族自治縣 伊通满族自治县	4-51830-S,4-52099-S
伊麗莎白 伊丽莎白	4-51197-S,4-51299-S
伍子胥	13-298-S,13-6199-S,13-6329-S
伏罗希洛夫	40-37804-S
伏羅希洛夫 伏罗希洛夫	40-37804-S
伏羲	18-56674-S,22-61312-S,51-14943-S,51-14984-S
休閒 休闲 leisure	4-56427-S
休闲 leisure	4-56427-S
众	56-30393-S
众所周知	45-53282-S
众议院 house of representatives	45-52786-S
会意 or radical plus phonetic 形聲 形声	12-38302-S
传	4-57225-S
伦敦	14-45072-S
伪	6-51204-S
伶俐	4-60924-S
伽罗瓦理论	4-63941-S
