連年 连年 [01\[ lián nián\]]	successive years;over many years
連忙 连忙 [01\[ lián máng\]]	promptly;at once
連戰 连战 [01\[ lián zhàn\]]	lien chan (1936-)
連手 连手 [01\[ lián shǒu\]]	concerted action;to collude (in dishonesty)
連接 连接 [01\[ lián jiē\]]	to link;to join;to attach;connection;a link (on web page)
連接器 连接器 [01\[ lián jiē qì\]]	connector
連接至 连接至 [01\[ lián jiē zhì\]]	to connect to
連接號 连接号 [01\[ lián jiē hào\]]	hyphen
連接詞 连接词 [01\[ lián jiē cí\]]	conjunction
連擊 连击 [01\[ lián jí\]]	batter
連敗 连败 [01\[ lián bài\]]	consecutive defeats;to lose several times in a row
連日 连日 [01\[ lián rì\]]	day after day;for several days running
連書 连书 [01\[ lián shū\]]	to join syllables in writing;joined-up handwriting
連枷 连枷 [01\[ lián jiā\]]	flail;to thresh (using a flail)
連江 连江 [01\[ lián jiāng\]]	(n) lianjiang (place in fujian)
連滾帶爬 连滚带爬 [01\[ lián gǔn dài pá\]]	(idiom) rolling and crawling
連珠 连珠 [01\[ lián zhū\]]	joined as a string of pearls;in rapid succession;alignment;renju
連珠砲 连珠炮 [01\[ lián zhū pào\]]	in quick-fire succession
連理 连理 [01\[ lián lǐ\]]	two trees that grow together as one; fig. conjugal union
連環 连环 [01\[ lián huán\]]	chain
連環圖 连环图 [01\[ lián huán tú\]]	comic strip
連環畫 连环画 [01\[ lián huán huà\]]	lianhuanhua (graphic novel)
連用 连用 [01\[ lián yòng\]]	to continue using;use together with sth;use next
連累 连累 [01\[ lián lěi\]]	to involve;to implicate sb;to spread to others (harm
連結 连结 [01\[ lián jié\]]	connect;join;link
連結主義 连结主义 [01\[ lián jié zhǔ yì\]]	connectionism
連絡 连络 [01\[ lián luò\]]	to contact (nearest relatives
連綴 连缀 [01\[ lián zhuì\]]	to put together;linking;successive;a cluster
連綴動詞 连缀动词 [01\[ lián zhuì dòng cí\]]	linking verb
連綿 连绵 [01\[ lián mián\]]	continuous;unbroken;uninterupted;extending forever into the distance (of mountain range
連綿詞 连绵词 [01\[ lián mián cí\]]	binding word
連線 连线 [01\[ lián xiàn\]]	connecting line;slur indicating legato (in music);liaison (in phonetics);ligature (in typesetting)
連縣 连县 [01\[ lián xiàn\]]	lian county in guangdong
連續 连续 [01\[ lián xù\]]	continuous;in a row
連續不斷 连续不断 [01\[ lián xù bù duàn\]]	continuous;unceasing
連續介質力學 连续介质力学 [01\[ lián xù jiè zhì lì xué\]]	mechanics of a continuous medium (math. phys.);fluid mechanics
連續函數 连续函数 [01\[ lián xù hán shù\]]	continuous function
