niú dùn	41-49376-B,53-48614-S
niú dùn lì xué	41-49452-B
niú dāo	9-34347-S
niú dǒu	36-30046-S
niú er	71-51688-S
niú huáng suān	41-48407-B
niú huā	41-64358-S
niú hū mǎ	13-19275-S
niú jiàn yuè	13-1091-S
niú jiǎo	65-9835-S
niú jiǎo jiān	65-10101-S
niú jiǎo jiāo	41-49026-B
niú jīn	41-47961-B
niú jīn dà xué	41-48019-B
niú jīn qún	41-48094-B
niú liǔ	41-47745-B,65-3507-S,67-55892-S
niú láng	41-49104-B
niú láng zhī nǚ	41-49228-B
niú mó wáng	41-49682-B
niú mù mǎ	15-31635-S
niú mǎ	41-49617-B
niú nián	41-47637-B
niú nǎi	41-47487-B
niú piào	71-21710-S
niú pái	1-26243-S,37-16055-S,41-47706-B,54-37075-S
niú páng	41-48943-B
niú pí	41-48207-B
niú pí cài	41-48342-B,49-11432-S
niú pí xiǎn	41-48288-B
niú qiáo	41-47786-B
niú ròu	20-67638-S,41-48462-B,53-52834-S,65-3618-S
niú ròu chǎo miàn	41-48588-B
niú ròu lā miàn	41-48500-B
niú ròu miàn	41-48745-B
niú ròu qín cài	41-48674-B
niú rù hǎi	37-43366-S
niú shì	41-47592-B
niú tán qín	20-52736-S
niú tè	51-17038-S
niú tè qí	51-17116-S
niú tóu quǎn	41-49526-B
niú wā	41-48985-B
niú xī	41-48807-B
niú xīng	41-64222-S
niú yóu	41-47850-B
niú yóu guǒ	41-47890-B
niú yǐn	41-49579-B
niú zhì	41-48893-B
niú zuò	64-12676-S
niú zuò mǎ	13-19119-S
niú zǎi	41-47378-B
niú zǎi kù	41-47418-B
niú èr hǔ zhī lì	3-20205-S
niān	55-13283-B
niān huā	25-27194-S
niān huā rě cǎo	27-20309-B
niān jiāo	71-28390-B
niē	26-54249-S,28-3101-B
niē gu	28-3173-B
niē hé	28-3227-B
niē jī	28-3282-B
niē jǐ zhì liáo	28-3327-B
niē niē	26-54249-S
niē zào	28-3415-B
niū	18-36149-B,37-50290-S
niǎn	28-9687-B,29-9503-B,29-32533-B,36-44977-S,37-953-S,38-35898-B,38-48193-B,46-34426-B,61-15093-B
niǎn fáng	46-34472-B
niǎn guò	46-34518-B
niǎn jūn	28-9733-B
niǎn suì qì	17-34043-S
