lexicography	61-36740-B
light petroleum product i e gasoline and diesel oil	61-12441-B
light pink	48-47747-B
light radiation	7-13322-B
light rail transit system	61-12575-B
light rain	36-14245-B,39-25338-B
light ray	7-8363-B,7-11891-B
light red	13-34540-B
light reflected from an object	4-4227-B
light refreshments	71-39292-B
light sensitive	7-9413-B,25-38960-B
light silk	50-300-B
light source	7-10749-B
light steamed flour or rice cake	56-3163-S
light stick	41-13464-B
light stress	61-11759-B
light to my humble dwelling	55-8004-S,55-8493-S
light to the barbarian	54-63524-B
light under a bush	38-51200-S,68-13305-S
light up	41-6601-S
light up with delight 成语 saw	14-7954-S
light water as opposed to heavy water	61-10981-B
light water reactor lwr	61-11112-B
light water reactor 輕水反應堆 轻水反应堆	61-10981-S
light wave	7-10638-B
light weight class in athletics	61-13394-B
light wind	24-22486-B,61-13531-B
light year	7-8724-B
light yellow	38-43899-B
light yellow color	50-16036-B
lighted buoy	53-34186-B
lighten	39-1122-S
lighter	26-46413-B,26-46413-S,69-46968-B,69-47202-S,69-47202-B
lighter pulled by a tugboat	27-37884-B
lighter ship	69-46345-S
lighthearted	61-11492-B
lighthouse	21-38501-B,41-25012-B
lighting	4-9179-S,17-50697-S,28-20779-B,28-20779-S,41-6601-B,41-7756-B,41-24953-S,67-32265-S
lighting design	61-66085-S
lighting fire	40-21747-S
lighting for a photograph	7-11891-B
lightly	5-28881-S,26-40212-S,28-12829-S,46-40980-S,61-10238-S,61-10659-B,61-12708-B,68-60539-S,68-61808-B,69-63414-S
lightly sport	61-10511-S
lightly touching the water as the dragonfly in the 成语 saw 蜻蜓點水 蜻蜓点水	71-40140-B
lightly wounded	61-9752-B
lightly 成语 saw	56-6398-S
lightning	8-67447-S,9-39931-S,65-24406-B,65-26790-B,67-24347-S,67-24403-S,67-24502-S
lightning archaic word	8-67389-B
lightning arrester	63-8064-B
lightning attack	65-25516-B
lightning bug	56-12742-B
lightning rod	63-8125-B
lightning speed	68-63424-S
lightning strike	67-23290-B
lightning war	65-25577-B,65-26985-B
lightning wedding	65-25220-B,65-26835-B
lights	41-11690-S,41-25172-B,45-46479-S,71-38199-S
lights due to phosphorescence from natural calcium phosphate 磷化鈣 磷化钙 capo3	70-31807-S
lights out	41-11690-B
lightstick	41-13464-B
lightweight and portable	61-9671-B
lignin	32-55103-B
lignite	57-7203-B
lignum aloes	37-7847-B
liguria	9-5979-B
lihe 790 816	33-5631-B
liji rebellion in 657 651 bc	69-64858-B
lijiang naxi autonomous county in yunnan	71-10180-B
lijiang old town in yunnan	71-9906-B
lijiang prefecture in northwest yunnan	71-9992-B
lijiang prefecture level city in northwest yunnan	71-9822-B,71-10085-B
lijiang 麗江 丽江	42-32516-S
lijiang 麗江 丽江 in northwest yunnan	33-18153-S
lijiang 麗江市 丽江市	47-29795-S
lijin place in shandong	9-7172-S
likang village in taiwan	63-54948-S
like	1-12502-B,1-12502-S,2-1842-B,4-45361-B,4-62181-B,4-62734-S,4-62958-S,5-33037-B,6-50232-S,6-60257-S,12-45156-B,14-6828-S,14-7675-S,14-8386-S,14-8566-S,18-26605-S,18-26721-S,18-28807-S,18-29752-S,18-30354-B,19-49059-S,21-9715-S,24-11598-S,25-5106-S,25-5106-S,25-26046-S,25-32320-S,25-33666-S,35-35242-S,35-39187-S,41-52789-S,43-55349-S,45-26269-B,49-48809-S,49-54691-S,52-1977-S,52-8166-S,53-66108-B,66-43312-S,68-47160-B
like a bow	23-25847-S
like a cow	36-27403-S
like a dog 成语 saw	43-59073-S
like a dragon	5-19976-S
like a father to me	3-61610-B
like a fish back in water 成语 saw	18-32123-B
like a fool	3-26746-S
like a frightened rat	71-50037-S
like a house on fire	61-61143-S
like a hypochondriac	40-57620-S
like a moth flying into the fire 成语 saw	69-0-S
like a pair of worn out shoes	57-34947-S
like a pig	36-56328-S
like a printed book	8-36470-S
like a rat 成语 saw	27-13948-S,27-14086-S
like a rocket	69-63889-S
like a scroll	56-5497-S
like a sheep s intestine	51-684-S
like a shuttle 成语 saw	31-7665-S
like a smile yet not a smile 成语 saw	4-62822-B
like a snake	55-60025-S
like a sparrow	66-52511-S
like a spoiled child	29-6839-S
like a stone dropped into the sea	46-6237-S
like a string of pearl	18-35896-S
like a sturgeon	70-42497-S
like a swallow	60-57283-S
like a swarm of bees	1-16401-B
like a wall	16-31739-S
like a walrus	36-27403-S
like a year 成语 saw	22-63768-S
like an arrow 成语 saw	7-13552-S
like an idiot	59-58482-S
like an idiot 成语 saw	58-26363-S
like ants pursuing a stink 成语 saw	18-31576-B
like autumn leaves	68-61660-S
like bird	70-56062-S,70-59440-S
like birds and beasts	70-50129-S
like chinese characters but native to vietnam	14-2867-S
like cushion 成语 saw	46-29840-S,49-66245-S
like dinosaur	4-63001-S,12-4524-S
like dinosaur found in erlian in inner mongolia	3-42070-S
like dinosaur found in liaoning province	63-4695-S
like dirt	28-50441-S
like draws like	41-52789-B
like ducks 成语 撒网	60-30855-S
like ears	56-8817-S,61-8423-S
like eating	12-26251-S
like father	32-30116-B
like fire 成语 saw	18-31059-S
like fish scales	70-47967-S
like flat ground	21-26653-S
like flies	21-24845-S
like flies pursuing a stink 成语 saw	18-31734-B
like game	33-39220-S
like goose feathers 成语 saw	70-56753-S
like horse s tail applies to various plants	69-36225-S
like ice and break like tiles	8-18661-S
like it	36-16430-S
like jade	43-2947-S
like mad 成语 saw	69-59963-S
like material	70-1042-S
like minded	24-44570-B
like minded person	12-52228-B
