fireworks	29-48426-S,41-2626-B,41-2895-B,41-24850-B,41-33075-S
fireworks and lanterns	40-21979-S
firing	53-16546-S
firing blindly	40-57922-B
firing from the hip	44-14638-B
firing line battle	40-23826-B
firing pin	29-10195-B
firing range	20-35748-B
firing squad	34-44920-S
firm	4-46417-B,5-13524-S,5-54103-S,7-57098-B,9-27374-B,9-27842-B,9-63719-B,10-19174-S,13-59480-B,16-3222-B,16-3431-B,16-4081-B,16-5141-B,16-5271-B,23-7576-B,23-66425-S,26-39226-B,28-0-S,32-61746-S,33-36831-B,33-37130-B,35-38859-B,41-51160-B,41-51192-B,45-8806-B,46-25003-B,46-26836-B,46-33016-B,46-34204-B,46-37082-B,47-41583-B,47-43366-B,47-54419-B,47-63006-S,49-39832-B,51-61620-S,66-53331-B,67-34287-S
firm and indomitable 成语 saw	16-5950-B
firm and persistent	15-52204-B
firm and resolute	36-65858-B
firm and solid	41-51388-B
firm and substantial	16-4293-B
firm and unyielding	16-3887-S
firm and upright	16-4968-B
firm as a mountain 成语 saw	15-65338-S
firm belief	5-42850-B
firm determination	64-33056-B
firm etc with your presence	59-50427-S
firm eye contact	67-56895-S
firm eye contact with sb	67-56769-S
firm fleshed limbs	52-11883-S
firm footing	16-14984-S
firm opinion	58-20384-S
firm prc usage	5-54021-S
firm producing a special product	20-39851-S
firm resolution to break off a relation	1-2914-B
firm voice	4-69124-S
firmament	47-44823-S,55-2936-B,67-39672-B
firmly	16-3283-S,16-3431-B,27-12883-S,28-9605-S,36-3121-B,38-48492-S,41-51292-B,48-33321-S,50-14723-S,58-20384-S,58-20989-S
firmly based	60-46585-B
firmly believe	46-33123-S
firmly deny	16-5200-S
firmly planted on the ground 成语 saw	52-43686-S
firmly set on doing sth	46-26482-B
firmly to prevent large scale repetition	20-64272-S
firmly to prevent them happening again	25-62921-S
firmly without any doubt 成语 saw	38-48544-S
firmness	16-3488-B,16-4223-B
firmware	14-64141-B,68-11050-B
first	1-12576-B,6-60747-B,7-2980-B,7-4355-S,7-4355-S,7-33747-S,8-3253-B,8-67768-S,8-67768-B,9-605-B,11-30466-S,11-31467-B,16-24247-S,22-29463-S,24-2448-S,25-19103-S,28-61896-S,32-19436-S,32-19487-B,32-61123-S,36-19315-S,41-38018-S,48-8254-B,48-8985-B,52-4066-S,58-42333-S,60-16052-S,65-30430-S,68-35986-B,70-33141-B
first aid	24-58936-B,29-64977-S
first aid office	24-58998-B
first among peers	70-32787-B
first and fearing to be last 成语 saw	41-38100-S
first and gain the upper hand 成语 saw	7-3039-S
first and second tones in classical chinese	22-37104-S
first and second tones of classical chinese	22-44181-S
first appearance	26-10232-S
first birthday	31-16363-B
first book of chronicles	35-51416-B
first book of kings	8-67083-B,8-67236-B
first book of moses	9-34807-S
first book of samuel	29-7414-B,29-7583-B
first by four tones 四聲 四声 then rhyme 韻 韵 i e medial consonant and final	68-17534-S
first case	48-8442-B,69-21194-B
first cause	11-30910-B
first choice	69-23592-B
first class	1-16843-B,1-17286-B,43-41317-B,48-9218-B,68-20212-B,68-38890-B,68-40015-B
first class in prc trains	61-2634-S,61-2708-S
first class merit	68-36502-B
first class seat on airplane or ship	68-38936-S
first column of the periodic table	71-5976-S,71-6359-S
first come	7-3279-B
first completed edition 1791 by cao xueqin 曹雪芹	49-10343-S
first day of each lunar month	32-44830-S
first day of each month	32-27406-S
first day of issue	69-22343-B
first day of lent	51-48607-S
first day of lunar month	8-67837-B,32-44587-B
first day of the lunar month	32-44910-S
first day of the month	1-20022-B
first draft	54-14500-B
first draft of writing	9-953-B
first embryonic leaf	19-2018-S
first emperor	47-23660-S,69-64941-S
first emperor 259 210 bc	47-23751-S
first emperor at mt li 驪山 骊山 near xian awaits excavation	47-23950-S,47-25250-S
first emperor in 212 bc	40-45198-S,40-45301-S
first emperor near xi an	47-23836-S
first emperor 秦始皇	47-23339-S
first epistle of peter in new testament	23-60905-B
first epistle of st john	49-6724-B,49-7183-B
first epistle of st paul to the corinthians	13-43491-B
first epistle of st paul to the thessalonians	22-24176-B
first epistle of st paul to timothy	28-39599-B
first experience 成语 saw	7-5151-S
first fixation duration	69-22742-B
first foundational steps	9-34721-S
first founded	9-1571-B
first full moon after birth i e entering the second month	23-51343-B
first fundamental form	48-8708-S
first furrow	65-38789-S
first gear	29-20230-S,68-37365-B
first generation	48-8383-B
first glance 成语 saw	32-46433-S
first glimmer of light	45-61721-S
first half	1-46721-B
first half of a period	1-46907-S
first half of a year	1-46767-B
first half of the 17th century	31-24875-B
first half of the day	9-18756-B,9-18919-B,68-36554-B
first half of the night from nightfall to midnight	9-18659-B
first han emperor liu bang 劉邦 刘邦 256 or 247 195 bc	39-51386-S
first hand	45-18367-S,57-37612-B
first identified in 1881 by nikolai mikhailovich przevalski 普爾熱瓦爾斯基 普尔热瓦尔斯基	31-49349-S
first in order	43-39052-B
first in the imperial examinations	69-23592-S
first index finger	17-18911-B
first instance	48-8442-B,69-21194-B
first issue	9-35763-B,69-23012-B
first kilometer	60-15954-S
first king of korean yi dynasty	33-2632-S
first lady wife of us president	48-8814-B
first letter of word in latin script	68-37410-B
first level	48-9408-B
first lieutenant army	2-69229-B
first light	1-5821-S
first love	9-497-B
first meal of the day	69-20305-B
first meeting	6-49006-S
first meridian	32-61599-S
first ming emperor	67-61011-S
first ming emperor hongwu 洪武	37-25193-S
first ming emperor zhu yuanzhang 朱元璋 posthumous name ming taizu 明太祖	37-61183-S
first ming emperor zhu yuanzhang 朱元璋 reigned 1386 1398	31-22991-S
first modern chinese library established in 1898 by william a p martin 丁韙良 丁韪良	12-47846-S
first month	1-11194-B,19-10127-B
first month of lunar calendar	41-25328-S
first month of the lunar calendar	6-62222-B
first month of the lunar new year	35-37366-B
