xing jian yuan	39-55651-S
xing jiang	56-32224-B
xing jiao	24-60744-B,62-30636-S
xing jiao gao chao	24-60798-B
xing jiao yi	62-30487-S
xing jiao yu	24-62290-B
xing jie	35-43125-S
xing jie chu	18-53501-S,24-62228-B,43-61268-S
xing jie gou	43-5624-S
xing jie kou	66-61121-S
xing jin	22-51683-B,56-35247-B
xing jin dang	56-35307-B
xing jin shi	6-7833-S
xing jin shu	71-5976-S
xing jin xing xing shi yu	11-34962-S
xing jin zhi	4-35506-S
xing jing	56-32347-B,56-34523-B
xing jing ji guo jia	30-55542-S
xing jing zu zhi	15-14996-S,35-28801-S
xing ju	8-64377-B
xing jun	17-1721-S,24-59592-S,56-35189-B
xing ka	15-26304-S
xing kai ci pang pi	53-23104-B
xing ke	13-49125-S
xing kong	31-31253-B
xing kuai che	40-21628-S
xing kuai shan ji yi ti	15-56447-B
xing kuang qu	3-57300-S
xing kui	22-51629-B
xing lai	63-48129-B
xing lan	71-5918-S
xing lang chuang	49-9765-S
xing le	2-27717-S,24-62664-B
xing lei	41-37887-S,46-46306-S
xing leng gan	24-61220-B
xing li	26-52743-S,31-29828-B,48-50653-S,56-33740-B,56-34333-B
xing li ban yun gong	56-33879-B
xing li chuan song dai	31-1208-S,56-33780-B
xing li ji	49-33705-S
xing li lun	19-45427-S
xing li xi bao	2-71653-S,14-24687-S,14-24802-S
xing li xiang	56-33962-B
xing li zi jiao huan ji	15-24319-S
xing lian	12-47471-S,43-61352-S,66-65515-S
xing lian zhe	12-47552-S
xing lin	33-6563-B
xing liu dian ji	31-30531-B
xing liu ting ji	31-30686-B
xing long	43-20521-S,53-25779-B
xing luo qi bu	31-31406-B
xing luo xia hui	29-51186-S
xing ma	34-14371-S
xing ma bi	52-39810-S
xing ma tou	17-47823-S
xing mai ming	66-47069-S
xing man	8-64644-B
xing mao yi	40-50885-S
xing men	24-15819-S
xing mian	22-51071-B
xing mian bao	15-23513-S
xing mian yi	42-23498-S
xing ming	18-40671-B,24-61501-B,31-28805-B
xing ming ci	10-847-S,67-63567-S
xing ming jia	31-28850-B
xing ming you guan	24-61541-B
xing mo liang	23-48449-S
xing mu	63-48287-B,66-52266-S
xing mu cai	15-23453-S
xing na	53-65164-S
xing nan yi	36-58907-S,36-59048-S
xing nao yan	3-15642-S
xing neng	24-63054-B,32-9509-S,70-14859-S
xing ni shi	5-60574-S
xing nian	24-67186-S
xing nu:e yuan chong	25-20728-S
xing pang	23-54964-B
xing pei zi	12-46287-S
xing pian	56-35541-B
xing pian hao	24-61028-B
xing pin xue	8-9364-S,15-38206-S,17-67139-S,38-21216-S,66-42301-S
xing ping deng	7-45054-S
xing qi	1-46411-S,1-50185-S,1-58503-S,1-60361-S,7-45720-S,8-64506-B,24-61644-B,31-29945-B,32-64294-S,49-8292-S,53-25406-B
xing qi er	31-30087-B
xing qi guan	24-61687-B
xing qi hou	38-21132-S
xing qi ji	31-30345-B
xing qi liu	31-30188-B
xing qi ri	31-30410-B
xing qi san	31-30033-B
xing qi si	31-30241-B
xing qi ti	25-24473-S
xing qi tian	31-30293-B
xing qi wu	31-30138-B
xing qi ye	2-69316-S,17-11812-S,20-61990-S
xing qi yi	31-29983-B
xing qiang zi dui zhuang ji	17-11901-S
xing qin	45-34701-B
xing qin shu	43-46102-S
xing qing	24-61868-B
xing qing hua wu zhong du	24-58527-S
xing qiu	31-30896-B
xing qiu da zhan	31-30958-B
xing qiu dan bai	43-39938-S
xing qu	4-16039-S,17-32770-S,25-42985-S,30-55467-S,32-39024-S,35-43006-S,51-12567-S,53-25467-B,62-30843-S
xing qu xiang	24-61425-B
xing quan	71-59666-S
xing que xian	7-3722-S
xing qun	31-31565-B
xing r	60-11393-S
xing ran liao	34-14303-S
