hei se su	71-32677-B
hei se su liu	45-51507-S
hei sen sen	71-30815-B
hei shan	71-29709-B
hei she hui	71-32220-B
hei shi	71-29889-B
hei shou dang	71-30198-B
hei su	71-32397-B
hei ti	71-33644-B
hei ti fu she	71-33746-B
hei ti zi	71-33692-B
hei wo	71-34091-B
hei xia zi	71-29158-B
hei xin	71-29058-B,71-30083-B
hei xing xing	71-31571-B
hei xiong	71-31498-B
hei xiu	14-33527-B
hei ye	71-29389-B
hei yu	71-33979-B
hei zhen huang li	71-30475-B
hei zhi	71-31635-B
hei zhi ma	71-32821-B
hei zhuan yao	71-32093-B
hei zi	17-62401-S,44-43840-S
hei zi zhou	17-62464-S
hei1	6-26965-S,9-16665-S,14-33501-B,23-62749-S,25-46617-S,29-3774-S,37-23999-S,39-44000-S,45-61801-S,59-12833-S,71-28837-B,71-34512-B,71-37556-S,71-43615-S
hei1 ai3 xing1	71-32032-B
hei1 an4	71-30309-B
hei1 bai2	38-54784-S,68-45759-S,71-31673-B
hei1 bai2 dian4 shi4	71-31749-B
hei1 ban3	71-30431-B
hei1 bu4 liu1 qiu1	71-28941-B
hei1 cha2 biao1 zi5	71-32877-B
hei1 che1	71-33339-B
hei1 cu4 li4	71-33427-B
hei1 dian4	65-44346-S,71-29935-B
hei1 diao1	71-33280-B
hei1 dong4	71-31212-B
hei1 er5	29-26751-S
hei1 fa4	71-33840-B
hei1 fei4 bing4	71-32451-B
hei1 ge2 er3	71-30571-B
hei1 gui3	71-33888-B
hei1 guo1	52-18967-S
hei1 hu2 jiao1	71-32582-B
hei1 hu3 quan2	71-33113-B
hei1 hua4	71-33202-B
hei1 huan4	71-34021-B
hei1 ji1 su4	61-63283-S
hei1 ji2 yuan1 hun2	71-32313-B
hei1 jia1 lun2	71-29101-B
hei1 jing3 he4	71-33482-B
hei1 ke4	71-29509-B
hei1 lan2	24-29267-S
hei1 ma3	71-33578-B
hei1 mei2	71-31407-B,71-32951-B
hei1 mei2 fu4 she2	71-31824-B
hei1 mei2 yu4	71-31451-B
hei1 mei2 zi5	71-32995-B
hei1 men2 ni2 de2 wang2 chao2	66-14347-S
hei1 ming2 dan1	71-29221-B
hei1 mu4 er3	71-30362-B
hei1 niao4 zheng4	71-29650-B
hei1 qian2	37-55315-S
hei1 ren2	46-1835-S,71-29012-B
hei1 se4	40-40223-S,71-32639-B
hei1 se4 jin1 shu3	71-32741-B
hei1 se4 su4	71-32677-B
hei1 se4 su4 liu2	45-51507-S
hei1 sen1 sen1	71-30815-B
hei1 shan1	71-29709-B
hei1 she4 hui4	71-32220-B
hei1 shi4	71-29889-B
hei1 shou3 dang3	71-30198-B
hei1 su4	71-32397-B
hei1 ti3	71-33644-B
hei1 ti3 fu2 she4	71-33746-B
hei1 ti3 zi4	71-33692-B
hei1 wo4	71-34091-B
hei1 xia2 zi5	71-29158-B
hei1 xin1	71-30083-B
hei1 xin4	71-29058-B
hei1 xing1 xing1	71-31571-B
hei1 xiong2	71-31498-B
hei1 xiu1	14-33527-B
hei1 ye4	71-29389-B
hei1 yu2	71-33979-B
hei1 zhen3 huang2 li2	71-30475-B
hei1 zhi1 ma5	71-32821-B
hei1 zhi4	71-31635-B
hei1 zhuan1 yao2	71-32093-B
hei1 zi3	17-62401-S
hei1 zi3 zhou1	17-62464-S
hei1 zi4	44-43840-S
hen	1-6114-S,2-8243-S,4-21917-S,5-12434-B,6-44880-S,7-2273-S,8-31127-S,9-14959-S,9-39888-S,11-36316-S,12-13089-S,13-41396-B,18-58669-S,19-67225-S,23-65615-B,24-7566-S,24-42347-S,24-63974-S,25-1009-B,25-7064-S,25-21002-S,25-22390-S,25-22440-S,25-24717-S,25-43742-S,25-54575-S,25-56508-S,25-57903-S,26-512-S,27-13065-S,27-46984-B,36-63218-S,37-59991-S,42-7892-B,44-5705-S,44-13713-B,44-14325-S,44-18541-S,44-18639-S,56-54530-S,63-2766-S,68-8740-S
hen an quan	4-62330-S
hen ba ba	42-7926-B
hen bu	23-65675-B
hen bu de	25-1039-B
hen bu neng	25-1203-B
hen da	23-65840-B
hen da qi wang	20-1235-S
hen du	42-8031-B
hen duo	23-65720-B
hen duo fang mian	15-34811-S
hen duo shi	23-65790-B
hen hai nan tian	25-1415-B
hen hao	23-65883-B
hen hao kan	23-65921-B
hen hen	25-22440-S
hen ji	44-13747-B
hen jian dan	11-31168-S
hen jin	61-57743-S
hen kuai	23-66036-B
hen shao	23-65983-B
hen wa er de	22-17021-S
hen wan	45-30751-S,58-63301-S
hen wu	25-1375-B
hen xiang	23-66078-B
hen xin	42-7980-B
hen yi han	23-66145-B
hen2	6-44880-S,9-14959-S,9-39888-S,27-46984-B,36-63218-S,44-5705-S,44-13713-B,44-18541-S,44-18639-S,56-54530-S,68-8740-S
hen2 ji4	44-13747-B
hen2 jin3	61-57743-S
hen2 wa3 er3 de2	22-17021-S
hen3	2-8243-S,5-12434-B,7-2273-S,8-31127-S,13-41396-B,23-65615-B,24-7566-S,25-22390-S,25-22440-S,42-7892-B
hen3 an1 quan2	4-62330-S
hen3 ba1 ba1	42-7926-B
hen3 bu4	23-65675-B
hen3 da4	23-65840-B
hen3 da4 qi1 wang4	20-1235-S
hen3 du2	42-8031-B
hen3 duo1	23-65720-B
hen3 duo1 fang1 mian4	15-34811-S
hen3 duo1 shi2	23-65790-B
hen3 hao3	23-65883-B
hen3 hao3 kan4	23-65921-B
hen3 hen3	25-22440-S
hen3 jian3 dan1	11-31168-S
hen3 kuai4	23-66036-B
hen3 shao3	23-65983-B
hen3 xiang3	23-66078-B
hen3 xin1	42-7980-B
hen3 yi2 han4	23-66145-B
hen4	1-6114-S,4-21917-S,11-36316-S,12-13089-S,18-58669-S,19-67225-S,24-42347-S,24-63974-S,25-1009-B,25-7064-S,25-21002-S,25-24717-S,25-43742-S,25-54575-S,25-56508-S,25-57903-S,26-512-S,27-13065-S,37-59991-S,44-14325-S,63-2766-S
hen4 bu5 de2	25-1039-B
hen4 bu5 neng2	25-1203-B
hen4 hai3 nan2 tian2	25-1415-B
hen4 wan3	45-30751-S,58-63301-S
hen4 wu4	25-1375-B
heng	2-7790-S,2-22935-S,4-1601-B,4-57960-S,8-7713-S,9-47428-S,13-48609-B,15-48470-S,17-67224-S,18-44294-B,22-44782-S,22-64029-S,23-57190-S,24-66961-B,27-7530-S,27-56332-S,33-10114-S,33-10183-S,34-1151-B,35-7417-B,35-7488-B,35-19054-S,36-51336-S,39-49826-S,40-51833-S,41-39368-S,42-32202-S,42-46125-B,50-29181-S,52-26404-B,52-28261-S,52-31847-B,55-36290-B,56-23375-S,56-40469-B,64-59117-B,65-6086-B,67-61625-S,69-57467-S,70-55328-B
heng bi	35-9453-B
heng bin lun tai	35-9182-B
heng bo	35-9032-B
heng cai	35-10145-B,44-30442-S
heng chang	13-48698-B
heng chi cheng	50-29530-S
heng chong zhi zhuang	35-9909-B
heng chuan	35-9396-B
heng dao	4-16202-S
heng deng shi	24-67980-B
heng ding	24-66994-B
heng ding lu:	19-21880-S,52-28344-S
heng duan wu	35-8613-B
heng fan	35-8724-S
heng fei	56-28506-S
heng gang	35-8780-B
heng ge	35-9777-B
heng gou	35-10430-B
heng gu	35-10591-B
heng guan	35-10230-B
heng guo	35-10384-B
heng heng fan	35-8724-B
heng huo	68-62435-S
heng ji	13-48658-B
heng jia	34-1224-B
heng jiao cuo	50-29380-S
heng jie	35-8213-B
heng jie chang	35-9535-B
heng jie xian	35-8257-B
heng jin dou	34-59904-B
heng ke	70-55358-B
heng kua	35-10322-B
heng leng wen	35-9332-B
