kohl name	47-19700-B
kohlrabi	53-66049-B
koizumi	20-66485-S
koizumi jun ichiro	20-66485-B,20-66564-B
kok area in hong kong	31-17549-S
kok town in hong kong	37-17849-S
kokuji	64-55767-S
kokuji 國字 国字	71-16641-S
kolchak	70-18361-S
kommunistischen partei by marx and engels 1848	7-72442-S
komura masahiko 1942 	70-15983-B
kong	1-51245-S,2-75756-S,3-20840-S,4-11184-S,5-35893-S,10-56948-S,11-3183-S,13-52098-S,14-56479-S,15-51958-S,17-28251-S,18-29189-S,19-2509-S,20-29786-S,23-66498-S,30-5172-S,30-31377-S,30-45953-S,30-52365-S,31-17549-S,31-22818-S,36-18296-S,36-20221-S,37-17849-S,37-36270-S,38-48426-S,38-50737-S,40-18933-S,40-22359-S,46-6173-S,47-28635-S,47-61461-S,48-2093-S,49-29561-S,51-8220-S,54-11290-S,54-14434-S,54-50976-S,54-60566-S,56-33117-S,57-42005-S,58-1444-S,65-16652-S,66-11725-S,67-16707-S,69-26760-S,69-26806-S,69-27086-S,69-28540-S,69-48174-S,69-48566-S
kong abbr for 香港	39-5442-S
kong airline	15-11240-S
kong airport	67-59831-S
kong american virologist	71-16753-S
kong and macao area	39-6185-S
kong and shanghai banking corporation hsbc	10-39292-S,10-39377-S
kong and taiwan	39-6384-S
kong area in hong kong	46-6173-S
kong association of banks	69-28427-S
kong banking giant	17-56902-S
kong chief executive from 1997 to 2005	54-59447-S
kong colloquial to cheat i e 欺骗	13-7797-S
kong cultural center	69-27364-S
kong currency	39-5947-S
kong dollar	39-5661-S,39-5947-S
kong dragon airlines dragon air	39-6439-S,39-6513-S
kong economic journal	5-43280-S
kong family master s anthology	19-2594-B
kong federation of trade unions	69-27235-S
kong football association	69-28196-S
kong government	39-6016-S
kong group	2-82774-S
kong island	21-6006-S,69-27171-S
kong lotto game	7-66798-S
kong monetary authority	69-28307-S
kong or macao	45-25002-S
kong person or people	39-5600-S
kong person people	69-27015-S
kong police force 1969 1997	44-61267-S
kong police force since 1997	69-27976-S
kong polytechnic university	69-27577-S
kong red cross	69-27813-S
kong registered ship involved in historical incident in 1856 used as pretext for the second opium war	3-63343-S
kong s civil service before and after the handover to prc rule in 1997	66-27907-S
