running	1-21916-B,29-8395-S,41-32293-B,50-44480-B,60-970-S,60-970-S,60-18450-S,60-27889-S,60-27965-S,62-22438-S
running about	18-7199-S,18-7452-S
running abuse	38-3294-S
running as fast as flying	6-18628-B
running between bases in baseball	60-35674-B
running competitively	58-24652-B
running dog	60-12458-S
running in opposite direction buses	20-57304-B
running neck and neck	62-25879-B
running of flight of shipping service	6-17166-S
running only after the horse has bolted 成语 saw	29-53474-B
running over it	46-34518-S
running shoes	60-36618-B
running state	62-41392-B
running water	38-4364-B,53-953-B,60-12222-B
runny not set hard	70-27342-S
runoff	24-4803-B,62-3149-B
runs	37-60534-S,52-44857-S
runs after trash	18-31576-S,18-31734-S
runs and the wild boar rushes 成语 saw	42-9857-S
runs or flights	42-47210-S
runtime correction in computing	41-21715-S
runway	60-36417-B
runway at airport	39-28568-B
ruo ergai place in sichuan	53-66573-S
ruoqiang place in xinjiang	53-66649-S
ruoxu c 660 720	23-41323-S
rupee	45-13503-B
rupert murdoch 1931 	71-35975-B
rupiah	11-18554-S
rupture	30-60607-B,30-60722-S,37-330-S,37-330-S
rural	63-29577-B
rural area	61-40900-B
rural coll 	21-12299-S
rural euphemism	54-7473-S
ruse	57-58063-B
rush	5-30944-S,18-6799-S,24-59355-S,25-46275-S,28-61673-S,28-61826-S,29-33573-B,37-12703-S,37-63132-S,48-43909-S,54-53988-S,54-59656-B,55-332-S,55-36409-B,60-28549-S,62-17106-B,62-20560-S,65-34839-S,65-52463-S,68-63079-S,69-1002-S
rush about	18-7199-B,18-7452-B,42-1383-S
rush about busily	33-17135-S,33-17266-S
rush about on errands	18-6898-B
rush around everywhere	39-37745-S
rush at sth	29-16242-S
rush basket	55-1272-B
rush down	18-7337-S
rush forth	38-35933-S,39-13937-S
rush forward	64-33377-S
rush headlong	69-45380-S
rush hour	1-45714-B,70-14064-S
rush in and kill the enemy	56-39852-S
rush indiscriminately into action	18-32614-S
rush like ducks 成语 撒网	60-30855-S
rush of water	39-9902-S
rush off	29-6128-S
rush out	47-52686-S
rush out of a den	47-56064-B
rush sb	6-30180-S
rush tall grass	54-522-B
rush through urgently e g emergency supplies	28-62448-S
rush to buy	28-62151-S
rush to do sth urgent	28-61896-S
rush to purchase	41-39807-S
rush typha japonica	55-2626-S
rushan county level city in weihai 威海	3-22011-B,3-22086-B
rushed	24-58868-B
rushes	54-8917-B,55-6779-B
rushes 成语 saw	42-9857-S
rushing	24-57383-B,58-24652-S
rushing about	18-7062-S
rushing flow	36-61002-S
rushing of a torrent	37-3915-B
rushing of water	40-16378-B
rushing to buy	28-62385-B
rushing water	39-15338-B,39-25566-B
russell name	50-61364-B
russia	2-49409-S,2-49566-S,2-49713-S,3-64301-S,5-31435-B,5-32005-B,5-32315-B,7-16335-S,10-3067-S,11-16587-S,16-17427-S,21-13261-S,30-56342-S,37-14272-S,37-14612-S,37-17199-S,40-35811-S,40-35881-S,44-36545-S,49-18396-S,49-26506-S,51-46629-S,54-25672-S,55-37802-S,58-900-S,66-10077-S,71-34241-S
russia 1917 1991	55-40507-S
russia 1991 1999	54-51225-S
russia agreed to hand back yili province to qing china in exchange for compensation payment and unequal treaty rights	29-45849-S
russia and japan	31-5164-S
russia and mongolia	66-8411-S
russia and qing china	63-55025-S
russia around 1930 and china in the 1950s	4-11991-S
russia china	5-31389-B
russia e g of early chinese communists	51-57935-S
russia north of the caucasus	11-18245-S
russia s primorsky krai around vladivostok	51-29349-S
russian	5-31342-B
russian and chinese communist revolutions	29-55980-S
russian border agreement of 1991	2-49971-S
russian central asia	66-8233-S
russian far east	10-3154-S
russian far east opposite sakhalin island	64-46857-S,64-46972-S,64-47116-S,64-47283-S
russian female tennis star	54-22162-S
russian language	5-32267-B,5-32432-B
russian mainland	68-9759-S
russian mt pobeda	26-51901-S
russian name	4-47600-S,8-66005-S,55-23451-S
russian names	50-2889-S
russian newspaper	10-4917-S
russian pacific	16-7829-S
russian pacific primorsky region	40-37804-S
russian person	5-32363-B
russian port city	48-6575-S
russian province around vladivostok 符拉迪沃斯託克 符拉迪沃斯托克	40-11738-S
russian relations	2-50086-S
russian revolution and civil war 1917 1922	31-11801-S
russian space launch site in kazakhstan	27-46198-S
russian spaceship	62-30060-S
russian state oil company	50-58899-S
rust	43-30379-S,64-34538-S,65-5200-B
rustic	5-33889-B,6-27950-B,6-53848-B,20-11193-B,24-66316-B,24-66352-B,42-13067-B,47-58093-B,59-60359-B,63-30294-B,63-31799-B
rustic elder	64-3028-S
rustic or illiterate	43-61942-S
rustle	55-16876-S
rustle in the air	55-16876-S
rustling	42-63140-B,47-56064-B
rustling noise	47-58165-S
rusts 成语 saw	26-25075-S
rusty	43-30379-S
rusty because of lack of practice	27-28249-S
rusty iron	64-58982-B
rut	14-60267-S,29-61362-S,61-30769-B,61-32144-S
rut of a wagon	60-60253-B
ruta graveolens	53-62703-S,55-14557-S
rutaceae	55-14807-B
rutgers university newark	27-24384-B
ruth	5-31589-S,60-42152-S
ruth name	60-42081-B
ruthenium ru	64-18173-B
rutherford earnest	45-14061-B
ruthless	7-2852-B,14-42924-B,25-24000-B,31-66679-B,35-55664-B,40-52113-B,51-30940-S,63-44316-B
ruthless character behind a gentle appearance	50-13327-S
ruthless to be a great man	40-55615-S
rutile mineral form of titanium oxide tio2	64-13604-B
rutting season	9-69376-S
ruyang place in henan	36-57616-S
ruyuan yao autonomous county in shaoguan 韶关	3-22306-B,3-22441-B
ruzhen c 1763 c 1830	33-4017-S
ruzhou city in henan	36-57556-S
rwanda	15-66781-S,45-13277-B
ryder cup us and europe golf team competition	54-39840-S
rye	57-3474-B
ryongchon	71-59452-B
ryotarō 1923 1996	12-25802-S
rythm	12-65913-S
rythmic declamation	58-58903-B
rythmical	60-34302-B,60-34750-B,60-35009-B
rythmically	12-65835-S,12-65913-S
ryukyu islands	42-57362-B
ryukyu or luchu islands incl okinawa	38-4916-S
ryūtarō 1937 2006	35-948-S
rán 1932 2008	38-10998-S
rángjū	12-25604-S
rángjū of qí	12-25419-S
rángjū s art of war	12-25419-S
réaumur temperature scale	8-66950-B
région	37-56319-S
résumé resume	48-37403-B
