yi2 xun4	63-3741-B
yi2 ye4	52-23746-B
yi2 yi4	44-4873-B
yi2 you2	17-69140-B
yi2 yu2 li4	2-35364-S
yi2 yu4	44-4674-B
yi2 yuan2	35-64549-S
yi2 yue4	24-57072-B
yi2 yun2	44-5095-B
yi2 zang4	52-23836-B
yi2 zeng4	63-3866-B
yi2 zhang4	18-43244-B
yi2 zhao4	7-3935-S,63-3154-B,63-3796-B
yi2 zhen4	44-4921-B
yi2 zhen4 di4	61-26804-S
yi2 zhi1 fu4	61-26637-S
yi2 zhi2	12-15569-S,14-35117-S,24-38558-S,47-26911-B,47-27013-B,70-2628-S
yi2 zhi2 shou3 shu4	47-27059-B
yi2 zhi2 xing4	12-15643-S,47-26957-B
yi2 zhi3	63-2225-B,65-52272-S
yi2 zhou1	16-40581-S
yi2 zhu1	39-26042-S,63-3250-B
yi2 zhu3	63-2178-B
yi2 zhu4	39-7632-S
yi2 zi5	17-13862-S,69-29589-S
yi2 zu2	63-2976-B
yi2 zu2 zi4 zhi4 xian4	11-1308-S,20-19532-S,21-39092-S,21-39623-S
yi2 zuo4	7-66240-S
yi3	1-69262-S,1-75472-S,2-6989-S,2-8746-S,3-15093-B,3-28724-S,4-30250-S,4-35588-B,5-2269-S,5-63231-B,5-63856-S,6-19454-B,8-2567-S,9-51084-S,12-11107-S,13-19952-S,15-51364-S,16-8728-S,22-2077-B,22-64450-S,23-48108-S,24-6618-S,25-55055-S,26-27629-S,26-30953-B,26-55871-S,27-9619-S,29-4397-S,31-2437-B,31-13560-S,34-24915-B,34-32498-S,43-34103-S,43-39169-S,44-45885-S,45-63015-B,49-49250-S,50-48138-S,51-35207-S,53-39716-B,53-65913-B,54-42826-S,56-12026-B,56-12262-S,56-15405-S,56-19755-B,57-45188-S,58-18644-S,58-33549-S,60-32193-S,60-58120-S,61-8801-S,61-16167-S,61-25038-S,61-31475-B,61-49927-B,61-51811-S,64-18142-B,66-21486-S,67-11273-S,68-523-S,68-45071-B,69-60195-S,70-51314-B,71-56525-B
yi3 an1 ji1	3-16128-B
yi3 bai3 ji4	30-19938-S
yi3 bian4	4-35965-B
yi3 chang2	16-52920-S
yi3 cheng2 su2	51-17687-S
yi3 cheng2 xing2	22-2212-B
yi3 cheng2 xing4	51-17791-S
yi3 chi3 gong1	12-32666-S
yi3 chou3	3-15219-B
yi3 chun2	3-17043-B
yi3 chun2 suan1	3-17114-B
yi3 ci2 hai4 zhi4	1-67379-S,1-67577-S
yi3 ci3	4-37819-B
yi3 cuo1 tuo2	22-48329-S
yi3 dai4	27-47573-S,55-50775-S,55-54020-S
yi3 dou4 wo1 zheng1	56-19825-B
yi3 du2 gong1 du2	4-37856-B
yi3 er4 chun2	3-15288-B
yi3 fa3	50-41487-S
yi3 fang1	3-15988-B
yi3 fang2 wan4 yi1	4-39426-B
yi3 fu2 suo3	4-37094-B
yi3 fu4	7-34365-S
yi3 fu4 shan1	18-31576-S
yi3 gan1	3-16740-B
yi3 gong1 yu4	4-25249-S
yi3 gu4	22-2269-B
yi3 hai4	3-15377-B
yi3 heng2	27-56332-S
yi3 hou4	1-7250-S,4-37446-B,8-21179-S,24-10418-S
yi3 hun1	22-2130-B
yi3 ji1	3-15756-B
yi3 ji1 qian1 zhong1 du2	14-46152-S
yi3 ji2	4-36584-B
yi3 jian4 fen1 xiao3	22-2543-B
yi3 jie3 men4	51-43214-S
yi3 jin3	16-38519-S
yi3 jing1	22-2409-B
yi3 jing1 jin4 xing2	22-2450-B
yi3 jun1	4-39186-B
yi3 kao4	5-63538-B
yi3 lai2	1-15338-S,4-35908-B,16-57076-S,22-47279-S,32-30872-S,32-36521-S,53-3486-S,65-15381-S
yi3 lai4	5-63421-B
yi3 lao3 quan2	69-7247-S
yi3 lei4 ju4	41-52789-S
yi3 li3	61-49961-B
yi3 li3 shu1	4-64611-S
yi3 li3 xiang1 dai4	4-38274-B
yi3 li4 ya4	4-36140-B
yi3 lin2 wei2 he4	4-39331-B
yi3 ling4 tian1 xia4	28-1260-S
yi3 ling4 zhu1 hou2	28-1416-S
yi3 luan3 ji1 shi2	4-36415-B
yi3 ma3 nei4 li4	4-39499-B
yi3 mao3	3-15447-B
yi3 mao4 qu3 ren2	4-38835-B
yi3 mei3	51-1991-S
yi3 mi2	3-17180-B
yi3 mian3	4-36027-B
yi3 mie4	22-2318-B
yi3 mo3 qu4	67-11409-S
yi3 mo4	45-29737-S
yi3 nan2	29-6486-S
yi3 nan2 Fei1 zhou1	29-6560-S
yi3 nao3	3-16784-B
yi3 nei4	4-36091-B
yi3 qi2 fang1	35-23208-S
yi3 qian2	4-36353-B,35-41443-S,65-33178-S
yi3 qing1 xin1	28-12829-S
yi3 qiu2	17-2404-S
yi3 quan2	3-17241-B
yi3 que1	3-16187-B
yi3 que1 ju4	36-32132-S
yi3 ran2	2-20835-S
yi3 ren2 wei2 ben3	4-35812-B
yi3 ruo4 sheng4 qiang2	4-37233-B
yi3 shang4	4-35683-B,7-43425-S,10-54821-S,10-58207-S
yi3 shen1 di3 zhai4	4-39102-B
yi3 shen1 zuo4 ze2	4-38996-B
yi3 shen4	2-17994-S
yi3 shi2 wei2 tian1	36-19315-S
yi3 shou4	69-3999-S
yi3 si1 la1 ji4	4-37755-B
yi3 si4	3-15915-B
yi3 suan1	3-16974-B,56-19780-B
yi3 suan1 na4	3-38829-S
yi3 tai4	3-15814-B,4-36763-B
yi3 tai4 wang3	4-36802-B
yi3 tai4 wang3 lu4	3-15852-B,60-25167-S,70-22297-S
yi3 tai4 wang3 luo4	3-69133-S,4-36855-B,7-70349-S,10-44140-S,24-49112-S
yi3 tai4 wang3 luo4 duan1 kou3	4-37002-B
yi3 tai4 wang3 luo4 lian2 meng2	10-44256-S
yi3 tai4 wang3 luo4 zheng4	4-36919-B
yi3 tao4 zi5	22-64487-S
yi3 tian1 tu2 long2 ji4	5-63326-B
yi3 wai4	4-36678-B,51-3090-S
yi3 wan2	1-37020-S,3-16286-B,43-5923-S
yi3 wan2 zhong1 du2	3-38482-S
yi3 wan4 ji4	30-20003-S
yi3 wang3	4-37340-B,22-2170-B
yi3 wei2	4-38004-B
