約翰福音 约翰福音	49-7468-B
約翰貳書 约翰贰书	49-7550-B
約翰遜 约翰逊	49-7669-B
約莫 约莫	49-7740-B
約西亞 约西亚	49-7798-B
約見 约见	49-7861-B
約言 约言	49-7964-B
約計 约计	49-8036-B
約請 约请	49-8103-B
約集 约集	49-8170-B
紅 红	49-8237-B
紅五星旗 红五星旗	49-8292-B
紅利 红利	49-8398-B
紅利股票 红利股票	49-8446-B
紅包 红包	49-8543-B
紅十字會 红十字会	49-8648-B
紅原 红原	49-8751-B
紅嘴鷗 红嘴鸥	49-8818-B
紅堡 红堡	49-8880-B
紅場 红场	49-8951-B
紅墨水 红墨水	49-9010-B
紅外 红外	49-9063-B
紅外線 红外线	49-9112-B
紅妝 红妆	49-9171-B
紅孃 红娘	49-9237-B
紅孩症 红孩症	49-9284-B
紅安 红安	49-9368-B
紅寶石 红宝石	49-9430-B
紅山區 红山区	49-9480-B
紅巨星 红巨星	49-9569-B
紅巾軍 红巾军	49-9631-B
紅斑 红斑	49-9692-B
紅斑性狼瘡 红斑性狼疮	49-9765-B
紅新月會 红新月会	49-9857-B
紅旗 红旗	49-9954-B
紅星 红星	49-9996-B
紅暈 红晕	49-10110-B
紅曲 红曲	49-10166-B
紅棗 红枣	49-10228-B
紅榿樹 红桤树	49-10275-B
紅樓夢 红楼梦	49-10343-B
紅樹 红树	49-10468-B
紅樹林 红树林	49-10523-B
紅橙 红橙	49-10577-B
紅毛丹 红毛丹	49-10626-B,49-10688-B
紅河 红河	49-10787-B
紅河哈尼族彝族自治州 红河哈尼族彝族自治州	49-10849-B
紅海 红海	49-11012-B
紅燈 红灯	49-11054-B
紅燈區 红灯区	49-11099-B
紅燈記 红灯记	49-11163-B
紅燒 红烧	49-11238-B
紅燒肉 红烧肉	49-11293-B
紅牌 红牌	49-11380-B
紅牛皮菜 红牛皮菜	49-11432-B
紅珊瑚 红珊瑚	49-11509-B
紅瑪瑙 红玛瑙	49-11564-B
紅男綠女 红男绿女	49-11618-B
紅矮星 红矮星	49-11729-B
紅磷 红磷	49-11789-B
紅移 红移	49-11838-B
紅筆 红笔	49-11893-B
紅籌股 红筹股	49-11934-B
紅糖 红糖	49-12099-B
紅細胞 红细胞	49-12160-B
紅綠燈 红绿灯	49-12231-B
紅腫 红肿	49-12321-B
紅腸 红肠	49-12382-B
紅臉 红脸	49-12426-B
紅色 红色	49-12482-B
紅色氧化汞 红色氧化汞	49-12541-B
紅色高棉 红色高棉	49-12632-B
紅花 红花	49-12741-B
紅茶 红茶	49-12786-B
紅葉 红叶	49-12830-B
紅蓮 红莲	49-12883-B
紅薯 红薯	49-12928-B
紅蘿蔔 红萝卜	49-12975-B
紅血球 红血球	49-13068-B
紅血球生成素 红血球生成素	49-13140-B
紅衛兵 红卫兵	49-13242-B
紅衣主教 红衣主教	49-13331-B
紅豆 红豆	49-13405-B
紅超巨星 红超巨星	49-13459-B
紅軍 红军	49-13539-B
紅辣椒 红辣椒	49-13582-B
紅辣椒粉 红辣椒粉	49-13648-B
紅運 红运	49-13730-B
紅醋栗 红醋栗	49-13774-B
紅霉素 红霉素	49-13829-B
紅領巾 红领巾	49-13886-B
紅骨髓 红骨髓	49-13959-B
紅高粱 红高粱	49-14036-B
紅鰹 红鲣	49-14095-B
紅黴素 红黴素	49-14141-B
紆 纡	49-14198-B
紇 纥	49-14241-B,49-14267-B
紈 纨	49-14296-B
紉 纫	49-14335-B
紊	49-14386-S
紊 紊	49-14386-B
紊乱	49-14469-S
紊亂 紊乱	49-14469-B
紊流	49-14518-S
紊流 紊流	49-14518-B
紋 纹	49-14566-B
紋理 纹理	49-14630-B
紋章 纹章	49-14720-B
紋絲 纹丝	49-14768-B
紋絲不動 纹丝不动	49-14823-B
紋絲兒 纹丝儿	49-14938-B
紋縷 纹缕	49-15010-B
紋縷兒 纹缕儿	49-15124-B
紋路 纹路	49-15196-B
紋身 纹身	49-15310-B
紋銀 纹银	49-15351-B
紋風不動 纹风不动	49-15396-B
紋飾 纹饰	49-15538-B
納 纳	49-15595-B
納什 纳什	49-15643-B
納傑夫 纳杰夫	49-15681-B
納入 纳入	49-15743-B
納匝肋 纳匝肋	49-15831-B
納吉布 纳吉布	49-15882-B
納塔乃耳 纳塔乃耳	49-15982-B
納妾 纳妾	49-16044-B
納尼亞 纳尼亚	49-16096-B
納尼亞傳奇 纳尼亚传奇	49-16144-B
納悶 纳闷	49-16233-B
納悶兒 纳闷儿	49-16284-B
納扎爾巴耶夫 纳扎尔巴耶夫	49-16344-B
納指 纳指	49-16437-B
納斯達克 纳斯达克	49-16540-B
納新 纳新	49-16613-B
納星 纳星	49-16748-B
納木錯 纳木错	49-16795-B
納涼 纳凉	49-16876-B
納溪 纳溪	49-16932-B
納瓦薩 纳瓦萨	49-16991-B
納福 纳福	49-17066-B
納稅 纳税	49-17156-B
納稅人 纳税人	49-17202-B
納米 纳米	49-17255-B
納米技術 纳米技术	49-17296-B
納米比亞 纳米比亚	49-17363-B
納粹 纳粹	49-17422-B
納粹份子 纳粹分子	49-17459-B
納糧 纳粮	49-17518-B
納聘 纳聘	49-17579-B
納衛星 纳卫星	49-17678-B
納西族 纳西族	49-17736-B
納豆 纳豆	49-17806-B
納豆菌 纳豆菌	49-17920-B
納貢 纳贡	49-18007-B
納賄 纳贿	49-18055-B
納賽爾 纳赛尔	49-18120-B
納赫雄 纳赫雄	49-18220-B
納降 纳降	49-18279-B
納雍 纳雍	49-18333-B
納霍德卡 纳霍德卡	49-18396-B
納鴻 纳鸿	49-18474-B
紐 纽	49-18513-B
紐倫堡 纽伦堡	49-18583-B
紐卡斯爾 纽卡斯尔	49-18650-B
紐卡素 纽卡素	49-18725-B
紐帶 纽带	49-18777-B
紐幾內亞 纽几内亚	49-18824-B
紐扣 纽扣	49-18905-B
紐約 纽约	49-18945-B
紐約人 纽约人	49-18987-B
紐約大學 纽约大学	49-19042-B
紐約客 纽约客	49-19116-B
紐約州 纽约州	49-19174-B
紐約市 纽约市	49-19234-B
紐約帝國大廈 纽约帝国大厦	49-19292-B
紐約時報 纽约时报	49-19389-B
紐約證券交易所 纽约证券交易所	49-19471-B
紐約郵報 纽约邮报	49-19586-B
紐芬蘭 纽芬兰	49-19667-B
紐芬蘭與拉布拉多 纽芬兰与拉布拉多	49-19731-B
紐西蘭 纽西兰	49-19852-B
紑	49-19916-S
紑 紑	49-19916-B
紓 纾	49-19962-B
紓解 纾解	49-20002-B
純 纯	49-20102-B
純净 纯净	49-20153-B
純利 纯利	49-20207-B
純品 纯品	49-20251-B
純屬 纯属	49-20294-B
