è zuò lín tóng	25-20051-B
è zuò yòng	8-68-S
è è shí shí	25-21050-B
è ěr	54-40082-S
è ěr bù lǔ shì	11-28839-B
è ěr duō sī	63-28964-B
è ěr duō sī shì	63-29061-B
è ěr ní nuò	11-28687-B
è ěr ní nuò xiàn xiàng	11-28747-B
èn	14-26017-B,28-63127-B
èn dīng er	28-63171-B
èn kòu er	28-63223-B
èr	1-29313-S,1-31113-S,1-31537-S,3-32067-B,3-33627-S,5-11770-B,8-3442-S,9-10700-B,9-39179-S,10-42449-S,11-4587-S,13-27647-B,14-45479-S,22-53372-S,23-25147-B,23-25393-B,31-30087-S,32-66988-S,34-59992-B,42-17783-S,43-56167-S,48-10661-S,48-12574-S,51-24927-S,55-262-S,56-30445-B,58-31194-S,59-41860-B,62-26685-S
èr biàn kǔ	3-42733-B
èr biān xíng	10-43497-S
èr bù zhì	3-43246-B
èr bā shì biàn	1-1367-S
èr běn lǜ shēn	3-41153-B
èr bǎ dāo	3-36192-B
èr bǎ shǒu	3-36253-B
èr bǎi wǔ	3-39696-B
èr chá zuì	3-41228-B
èr chóng	3-43358-B
èr chóng chàng	3-43414-B
èr chóng gēn	3-43605-B
èr chóng xìng	3-43527-B
èr chóng zòu	3-43466-B
èr chún	1-24533-S,2-43629-S,3-15288-S,3-43318-B,43-39256-S
èr chā shù	3-35103-B
èr chǎn fù	3-39255-B
èr chǎn yè	48-11495-S
èr cè	3-32575-B
èr cì	3-36612-B,48-11323-S
èr cì duō xiàng shì	3-36881-B
èr cì dà zhàn	3-36968-B
èr cì fāng	3-37035-B
èr cì fāng chéng	3-37102-B
èr cì gé mìng	3-37345-B
èr cì hán shù	3-36809-B
èr cì qū miàn	3-37268-B
èr cì qū xiàn	3-37177-B
èr cì shì jiè dà zhàn	3-36720-B,48-11398-S
èr cǎn àn	14-45852-S
èr dié jì	3-39607-B,3-41884-B
èr dài	3-32381-B,48-10781-S
èr dàn	1-13362-S
èr dào	3-42795-B
èr dào fàn zi	3-43167-B
èr dào jiāng	3-42975-B
èr dào jiāng qū	3-43066-B
èr dào qū	3-42880-B
èr dì zhī	10-42658-S
èr dì zhǔ	3-35240-B
èr děng	3-40309-B
èr děng chē	3-40431-B
èr děng cāng	3-40367-B
èr dīng mí	3-32218-B
èr fán	3-51330-S
èr fáng	3-35770-B
èr fáng dōng	3-35813-B
èr fù	3-32977-B
èr fú	3-32468-B
èr fēn	3-32797-B,10-42491-S
èr fēn diǎn	3-32915-B
èr fēn zhī yī	3-32853-B,10-42582-S
èr fǎ mén	1-66512-S
èr fǎn gé mìng zhèng biàn	14-45708-S
èr guó jì	48-10948-S
èr guǐ zi	3-44034-B
èr gān chún	3-39163-B
èr gān zi	3-36386-B
èr gōng	10-42739-S,71-23658-S
èr gǔ	5-24262-S
èr huà	3-41599-B
èr huà bù shuō	3-41678-B
èr huán lù	3-39093-B
èr huáng	3-40586-B,3-44111-B
èr huáng dì	3-39765-B
èr hào	3-33683-S,3-41297-B
èr hào diàn chí	3-41441-B
èr hào rén wù	3-41350-B
èr hú	3-41081-B,4-2815-S
èr hūn tóu	3-35372-B
èr hǔ zhī lì	3-20205-S
èr jiē	3-43679-B
èr jiǎ běn	3-39557-B
èr jiǎ jī shēn suān	3-39329-B,3-39443-B
èr jiǎo xíng	10-43431-S
èr jì dù	48-11179-S
èr jìn	3-42499-B
èr jìn zhì	3-42571-B
èr jìn zhì biān mǎ	3-42640-B
èr jìng	1-7750-S
èr jí	3-40628-B,48-11577-S
èr jí guǎn	3-36537-B,7-6786-S,40-4336-S,44-26595-S
èr jí tóu	3-40691-B
èr jí tóu hū xī qì	6-29085-S
èr lián	3-42006-B
èr lián hào tè	3-42225-B
èr lián hào tè shì	3-42314-B
èr lián jù dào lóng	3-42070-B
èr lián pén dì	3-42414-B
èr lián sān	28-25012-S
èr liè shì	71-22753-S
èr liú huà tàn	3-39837-B
èr liú jī bǐng chún	3-40025-B
èr liú jī bǐng huáng suān nà	3-39908-B
èr liú jī hǔ pò suān nà	3-40103-B
èr lái	3-32514-B
èr lín suān xiàn gān	3-40214-B
èr lín zhèn	3-36465-B
èr lún	3-41814-B,48-11709-S
èr lún xiāng	3-35485-B
èr lǎo	3-40803-B
èr lǐ tou	3-41520-B
èr lǜ běn àn běn yǐ suān nà	3-38829-B
èr lǜ jiǎ wán	3-38582-B
èr lǜ yì sān jù qíng suān nà	3-38651-B
èr lǜ yǐ wán zhōng dú	3-38482-B
èr lǜ àn	3-38775-B
èr miàn tǐ	10-43563-S
èr nián shēng	3-35561-B
èr nǎi	3-35313-B
èr píng jūn lǜ	10-42878-S
