fu2 ru2 Dong1 hai3	47-3314-B
fu2 ruo4	64-36020-S
fu2 sai1 qi2	23-31628-B
fu2 sao3	27-18385-B
fu2 se4 mu3	22-21178-S
fu2 shan1	50-59819-S
fu2 she4	4-64300-S,7-13322-S,9-30235-S,22-33848-B,32-63601-S,33-62656-S,41-22067-S,45-59699-S,45-59842-S,47-52048-S,61-18413-B,67-39167-S,71-33746-S
fu2 she4 bo1	61-19173-B
fu2 she4 cheng2 xu4	53-3067-S
fu2 she4 dui4 chen4	61-18869-B
fu2 she4 fang2 hu4	61-19581-B
fu2 she4 fen1 jie3	61-18588-B
fu2 she4 ji4	61-19425-B
fu2 she4 ji4 liang4	61-18653-B
fu2 she4 ji4 liang4 lu:4	61-18723-B
fu2 she4 jing3 gao4 biao1 zhi4	61-19478-B
fu2 she4 min3 gan3 xing4	61-19015-B
fu2 she4 neng2	61-19351-B
fu2 she4 qiang2 du4	61-18940-B
fu2 she4 qu1	23-45563-S
fu2 she4 san4 she4	61-19098-B
fu2 she4 yi2	61-18530-B
fu2 she4 yuan2	20-4169-S
fu2 she4 zhen1 cha2	61-18455-B
fu2 she4 zhi2 jie1 xiao4 ying4	61-19246-B
fu2 shi2	12-53351-S
fu2 shi4	32-42338-B,32-44399-B,67-18619-S
fu2 shi4 jun1	15-31037-S
fu2 shou3	26-55830-B
fu2 shou3 yi3	26-55871-B
fu2 shou4 luo2	47-3227-B
fu2 shu1	4-54767-B,32-44290-B
fu2 shui3 tu3	2-15376-S
fu2 si1	39-50774-S
fu2 si2	36-24749-B
fu2 suan1	36-34101-S
fu2 suo3	4-37094-S
fu2 suo3 shu1	4-37144-S
fu2 ta1 lin2	26-55601-B
fu2 ta1 ling2	32-42389-B
fu2 te4	4-54064-B,15-59801-S,47-5485-B,67-27475-S
fu2 te4 hai3	37-38456-S
fu2 te4 ji4	4-54148-B
fu2 te4 jia1	4-54100-B
fu2 ti1	26-56013-B,53-2393-S
fu2 tiao2	61-19656-B
fu2 tu2	1-28294-S,18-52399-S,38-13080-B,38-13227-B
fu2 wan2	32-43511-B
fu2 wei2	4-53552-B
fu2 wo4	4-54569-B
fu2 wu2 chang2	47-2422-S
fu2 wu4	6-40985-S,6-41730-S,8-49549-S,12-9850-S,12-59090-S,13-54043-S,24-62349-S,26-2647-S,32-42498-B,35-11962-S,46-49070-S,50-9493-S,57-61409-S,59-51229-S,62-7434-S,62-29866-S,67-25349-S,67-29212-S,67-37174-S
fu2 wu4 chan3 ye4	24-62420-S
fu2 wu4 fei4	32-43363-B
fu2 wu4 gong1 si1	51-58165-S
fu2 wu4 gong1 ying4 shang1	67-25430-S
fu2 wu4 guang3 gao4 xie2 yi4	32-42858-B
fu2 wu4 gui1 zhang1	32-43289-B
fu2 wu4 qi4	4-45647-S,15-63928-S,23-12946-S,26-41544-S,30-25739-S,32-42799-B
fu2 wu4 qi4 huan2 jing4	19-52306-S
fu2 wu4 qi4 jie2 gou4	19-52137-S
fu2 wu4 shu4 wei4 wang3 lu4	30-17210-S
fu2 wu4 shu4 wei4 wang3 luo4	49-63673-S
fu2 wu4 tai2	32-42616-B,32-43202-B
fu2 wu4 ti2 gong1 shang1	32-42969-B
fu2 wu4 ti2 gong1 zhe3	32-43063-B
fu2 wu4 wang3 lu4	30-17072-S
fu2 wu4 ye4	32-43144-B
