brick as a door knocker 成语 saw	30-14429-S
brick bed	40-29512-S
brick in building	34-55300-S
brick kiln	46-37852-B,46-37898-B,47-57866-B,71-32093-S
brick pagoda	46-37794-B
brick refractory material	64-51853-S
brick to attract jade 成语 saw	27-27976-S
brick wall	65-9835-S,65-10101-S
bricks	16-6537-S
bricks or stones	46-12598-S
brickwork of well	43-12571-B
brickwork to disperse water	30-8944-S
bridal chamber	30-48863-B
bridal trousseau	18-17408-B
bridal veil	49-43565-S,49-44410-S
bridal veil or kerchief	50-27629-B
bride	14-9430-S,30-46676-B,57-37612-B,61-45175-S,61-45175-S,61-45804-S,61-45804-S,65-40767-S
bride and groom as traditional wedding ceremony	3-70313-S
bride and groom in a old fashioned wedding ceremony	27-45189-S,27-45442-S
bride or bridegroom at a wedding	6-55344-S
bride price	19-46838-B
bride price payment to the bride s family in former times	49-17579-S
bride s family	27-43478-S
bride s family in former times	49-17579-S
bride s family in marriage	18-20369-B
bride s family inverting traditional chinese expectations	5-57530-S
bride s family to the groom	18-57752-S
bride s party	18-20912-S
bride s side of a wedding	18-20912-S
bride s veil or kerchief	57-8752-B
bride to new home	18-57178-S
bridegroom	30-57376-B
bridegroom at a wedding	6-55344-S
brides	48-13676-S
bridge	3-59833-S,5-29727-S,12-43592-S,15-37400-B,16-7033-S,17-23266-S,17-48717-S,22-18690-S,23-60191-B,26-2986-S,27-48784-S,33-30216-S,34-9017-B,35-727-B,35-1049-B,35-1154-S,37-58714-S,38-13590-S,40-14980-S,42-19456-S,44-24138-S,44-24138-S,44-24483-S,46-11505-S,46-42645-B,50-5943-S,50-62388-S,50-62556-S,55-36584-S,60-39900-S,60-42946-S,71-4517-S
bridge across the milky way between altair and vega where cowherd and weaving maid 牛郎織女 牛郎织女 are allowed an annual meeting	70-57411-S
bridge at west lake in hangzhou	30-59260-S
bridge card game	18-6576-S,35-1092-S
bridge in southwest of beijing	45-13738-S
bridge in the summer palace 頤和園 颐和园	10-41999-S
bridge incident of 7th july 1937 that sparked ww2 between japan and china	1-26425-S,45-13840-S,55-36662-S
bridge name	55-57185-S
bridge networking	35-823-B
bridge of the nose	71-51404-B
bridge or dashiqiao county level city in yingkou 營口 营口	17-29144-S,17-29263-S
bridge or marco polo bridge	55-36584-S
bridge or marco polo bridge in southwest of beijing	45-13738-S
bridge since then	39-16104-S
bridge to hong kong airport	67-59831-S
bridgehead	35-1154-S
bridges or underpass tunnels	47-60282-S,47-61990-S
bridgestone tire company	31-47337-B
bridgetown capital of barbados	22-17657-B
