摭 摭	29-2889-B
摮	29-2929-S
摮 摮	29-2929-B
摯 挚	29-2979-B
摯切 挚切	29-3021-B
摯友 挚友	29-3070-B
摯情 挚情	29-3132-B
摯愛 挚爱	29-3180-B
摯誠 挚诚	29-3222-B
摰	29-3265-S
摰 摰	29-3265-B
摲	29-3345-S
摲 摲	29-3345-B
摳 抠	29-3384-B
摴	29-3435-S
摴 摴	29-3435-B
摶 抟	29-3482-B
摷	29-3526-S
摷 摷	29-3526-B
摸	29-3565-S,29-3655-S
摸 摸	29-3565-B,29-3655-B
摸排	29-3689-S
摸排 摸排	29-3689-B
摸索	29-3737-S
摸索 摸索	29-3737-B
摸黑	29-3774-S
摸黑 摸黑	29-3774-B
摹	29-3833-S
摹 摹	29-3833-B
摹仿	29-3867-S
摹仿 摹仿	29-3867-B
摹扎特	29-3995-S
摹画	29-3954-S
摹畫 摹画	29-3954-B
摹紮特 摹扎特	29-3995-B
摺	29-4131-S
摺 折	29-4072-B
摺 摺	29-4131-B
摺光 折光	29-4177-B
摺子 折子	29-4223-B
摺子戲 折子戏	29-4285-B
摺尺 折尺	29-4348-B
摺椅 折椅	29-4397-B
摺皺 折皱	29-4443-B
摺紙 折纸	29-4504-B
摺線	29-4551-S
摺線 摺線	29-4551-B
摺轉 折转	29-4610-B
摻 掺	29-4673-B,29-4703-B
摻假 掺假	29-4735-B
摻和 掺和	29-4807-B
摻雜 掺杂	29-4880-B
摽	29-4939-S,29-4977-S
摽 摽	29-4939-B,29-4977-B
撂	29-5008-S
撂 撂	29-5008-B
撄	29-32950-S
撅	29-5045-S
撅 撅	29-5045-B
撇	29-5098-S,29-5130-S
撇 撇	29-5098-B,29-5130-B
撇下	29-5199-S
撇下 撇下	29-5199-B
撇去	29-5244-S
撇去 撇去	29-5244-B
撇号	29-5281-S
撇號 撇号	29-5281-B
撈 捞	29-5340-B
撊	29-5370-S
撊 撊	29-5370-B
撋	29-5410-S
撋 撋	29-5410-B
撏 挦	29-5458-B
撐 撑	29-5606-B
撐杆 撑杆	29-5681-B
撐桿跳 撑杆跳	29-5730-B
撐桿跳高 撑杆跳高	29-5791-B
撐竿跳 撑竿跳	29-5863-B
撐竿跳高 撑竿跳高	29-5957-B
撑	29-5606-S
撑杆	29-5681-S
撑杆跳	29-5730-S
撑杆跳高	29-5791-S
撑竿跳	29-5863-S
撑竿跳高	29-5957-S
撒	29-6068-S,29-6096-S
撒 撒	29-6068-B,29-6096-B
撒丫子	29-6128-S
撒丫子 撒丫子	29-6128-B
撒但	29-6264-S
撒但 撒但	29-6264-B
撒克逊	29-6313-S
撒克逊人	29-6370-S
撒克遜 撒克逊	29-6313-B
撒克遜人 撒克逊人	29-6370-B
撒军	29-8553-S
撒呓挣	29-6740-S
撒哈拉	29-6438-S
撒哈拉 撒哈拉	29-6438-B
撒哈拉以南	29-6486-S
撒哈拉以南 撒哈拉以南	29-6486-B
撒哈拉以南非洲	29-6560-S
撒哈拉以南非洲 撒哈拉以南非洲	29-6560-B
撒哈拉沙漠	29-6664-S
撒哈拉沙漠 撒哈拉沙漠	29-6664-B
撒囈掙 撒呓挣	29-6740-B
撒娇	29-6839-S
撒嬌 撒娇	29-6839-B
撒尔孟	29-7943-S
撒尿	29-6930-S
撒尿 撒尿	29-6930-B
撒手	29-7006-S
撒手 撒手	29-7006-B
撒手鐧 撒手锏	29-7067-B
撒手锏	29-7067-S
撒拉	29-7165-S
撒拉 撒拉	29-7165-B
撒拉族	29-7216-S
撒拉族 撒拉族	29-7216-B
撒拉鐵 撒拉铁	29-7295-B
撒拉铁	29-7295-S
撒旦	29-7365-S
撒旦 撒旦	29-7365-B
撒母耳紀上 撒母耳纪上	29-7414-B
撒母耳紀下 撒母耳纪下	29-7499-B
撒母耳纪上	29-7414-S
撒母耳纪下	29-7499-S
撒母耳記上 撒母耳记上	29-7583-B
撒母耳記下 撒母耳记下	29-7668-B
撒母耳记上	29-7583-S
撒母耳记下	29-7668-S
撒气	29-7752-S
撒氣 撒气	29-7752-B
撒泼	29-7843-S
撒潑 撒泼	29-7843-B
撒然	29-7904-S
撒然 撒然	29-7904-B
撒爾孟 撒尔孟	29-7943-B
撒督	29-8000-S
撒督 撒督	29-8000-B
撒种	29-8190-S
撒科打諢 撒科打诨	29-8087-B
撒科打诨	29-8087-S
撒種 撒种	29-8190-B
撒網 撒网	29-8234-B
撒网	29-8234-S
撒罗满	29-8282-S
撒羅滿 撒罗满	29-8282-B
撒脚	29-8340-S
撒腳 撒脚	29-8340-B
撒腿	29-8395-S
撒腿 撒腿	29-8395-B
撒謊 撒谎	29-8444-B
撒谎	29-8444-S
撒賴 撒赖	29-8491-B
撒赖	29-8491-S
撒軍 撒军	29-8553-B
撒迦利亚	29-8601-S
撒迦利亚书	29-8704-S
撒迦利亞 撒迦利亚	29-8601-B
撒迦利亞書 撒迦利亚书	29-8704-B
撒都該人 撒都该人	29-8785-B
撒都该人	29-8785-S
撒酒疯	29-8848-S
撒酒瘋 撒酒疯	29-8848-B
撒野	29-8933-S
撒野 撒野	29-8933-B
撒門 撒门	29-9021-B
撒门	29-9021-S
撒馬爾幹 撒马尔干	29-9076-B
撒馬爾罕 撒马尔罕	29-9138-B
撒马尔干	29-9076-S
撒马尔罕	29-9138-S
撓 挠	29-9200-B
撓率 挠率	29-9233-B
撕	29-9296-S
撕 撕	29-9296-B
撕毀 撕毁	29-9325-B
撕毁	29-9325-S
撕破	29-9388-S
撕破 撕破	29-9388-B
撕裂	29-9424-S
撕裂 撕裂	29-9424-B
撙	29-9463-S
撙 撙	29-9463-B
撚 捻	29-9503-B
撝	29-9549-S
撝 撝	29-9549-B
撞	29-9576-S
撞 撞	29-9576-B
撞伤	29-9679-S
撞傷 撞伤	29-9679-B
撞击	29-9729-S
撞击式印表机	29-9788-S
撞击式打印机	29-9882-S
撞擊 撞击	29-9729-B
撞擊式印表機 撞击式印表机	29-9788-B
撞擊式打印機 撞击式打印机	29-9882-B
撞毀 撞毁	29-9974-B
撞毁	29-9974-S
撞烂	29-10019-S
撞爛 撞烂	29-10019-B
撞見 撞见	29-10089-B
撞见	29-10089-S
撞車 撞车	29-10146-B
撞车	29-10146-S
撞針 撞针	29-10195-B
撞鎖 撞锁	29-10243-B
撞针	29-10195-S
撞锁	29-10243-S
撞騙 撞骗	29-10284-B
撞骗	29-10284-S
撟 挢	29-10332-B
撢	29-10363-S
撢 撢	29-10363-B
撣 掸	29-10393-B
撣邦 掸邦	29-10461-B
撣邦高原 掸邦高原	29-10531-B
撤	29-10626-S
撤 撤	29-10626-B
撤侨	29-10674-S
撤僑 撤侨	29-10674-B
撤兵	29-10761-S
撤兵 撤兵	29-10761-B
撤军	29-11225-S
撤出	29-10819-S
撤出 撤出	29-10819-B
撤回	29-10896-S
撤回 撤回	29-10896-B
撤换	29-11028-S
撤掉	29-10938-S
撤掉 撤掉	29-10938-B
撤換 撤换	29-11028-B
撤營 撤营	29-11089-B
撤离	29-11410-S
撤职	29-11142-S
撤職 撤职	29-11142-B
撤营	29-11089-S
撤走	29-11183-S
撤走 撤走	29-11183-B
撤軍 撤军	29-11225-B
撤退	29-11288-S
撤退 撤退	29-11288-B
撤銷 撤销	29-11329-B
撤销	29-11329-S
撤除	29-11370-S
撤除 撤除	29-11370-B
撤離 撤离	29-11410-B
撥 拨	29-11465-B
撥亂反正 拨乱反正	29-11584-B
撥付 拨付	29-11724-B
撥冗 拨冗	29-11780-B
撥出 拨出	29-11856-B
撥刺 拨刺	29-11900-B
撥動 拨动	29-11950-B
撥奏 拨奏	29-12056-B
撥子 拨子	29-12098-B
撥子彈 拨子弹	29-12137-B
撥弄 拨弄	29-12188-B
撥弦樂器 拨弦乐器	29-12251-B
撥款 拨款	29-12362-B
撥正 拨正	29-12424-B
撥浪鼓 拨浪鼓	29-12476-B
撥火棍 拨火棍	29-12583-B
撥用 拨用	29-12632-B
撥號 拨号	29-12679-B
撥號盤 拨号盘	29-12730-B
撥號音 拨号音	29-12788-B
撥開 拨开	29-12841-B
撥雲見日 拨云见日	29-12887-B
撦	29-13021-S
撦 撦	29-13021-B
撩	29-13059-S,29-13194-S
撩 撩	29-13059-B,29-13194-B
撩人	29-13274-S
撩人 撩人	29-13274-B
撩动	29-13332-S
撩動 撩动	29-13332-B
撩惹	29-13389-S
撩惹 撩惹	29-13389-B
撩拨	29-13442-S
撩撥 撩拨	29-13442-B
撩是生非	29-13495-S
撩是生非 撩是生非	29-13495-B
撩逗	29-13598-S
撩逗 撩逗	29-13598-B
撫 抚	29-13652-B
撫寧 抚宁	29-13763-B
撫州 抚州	29-13824-B
撫州市 抚州市	29-13897-B
撫抱 抚抱	29-13981-B
撫摸 抚摸	29-14020-B
撫育 抚育	29-14096-B
撫遠 抚远	29-14165-B
撫遠三角洲 抚远三角洲	29-14233-B
撫順 抚顺	29-14360-B
撫順市 抚顺市	29-14501-B
撫順縣 抚顺县	29-14634-B
撫養 抚养	29-14717-B
撫養成人 抚养成人	29-14781-B
撫鬆 抚松	29-14860-B
撫鬆縣 抚松县	29-14925-B
撬	29-15002-S
撬 撬	29-15002-B
撬开	29-15059-S
撬開 撬开	29-15059-B
播	29-15119-S
播 播	29-15119-B
播出	29-15184-S
播出 播出	29-15184-B
播報 播报	29-15252-B
播報員 播报员	29-15315-B
播客	29-15369-S
播客 播客	29-15369-B
播弄	29-15460-S
播弄 播弄	29-15460-B
播报	29-15252-S
播报员	29-15315-S
播放	29-15540-S
播放 播放	29-15540-B
播放机	29-15592-S
播放機 播放机	29-15592-B
播映	29-15659-S
播映 播映	29-15659-B
播种	29-15724-S
播種 播种	29-15724-B
播送	29-15783-S
播送 播送	29-15783-B
播音	29-15840-S
播音 播音	29-15840-B
撮	29-15891-S
撮 撮	29-15891-B
撰	29-15976-S,58-61588-S
撰 撰	29-15976-B
撰写	29-16016-S
撰寫 撰写	29-16016-B
撰文	29-16065-S
撰文 撰文	29-16065-B
