xiàn kuàng	42-50574-B
xiàn kuǎn	42-50534-B
xiàn kēng	66-32126-B
xiàn liàng xué	39-3805-S
xiàn luò	66-32332-B
xiàn luò dài	66-32439-B
xiàn làn	50-17492-B
xiàn lì	56-45564-S
xiàn lì tǐ	50-17314-B
xiàn lín tóu	17-38544-S
xiàn lù	30-21142-S,50-17632-B,67-37588-S
xiàn lùn	32-5789-S
xiàn lǜ	27-9455-S,59-48457-S
xiàn mèi	42-26064-B
xiàn mì dìng	52-25670-S
xiàn mù	51-12289-B,59-13621-S
xiàn mù tǎ	22-59776-S
xiàn nián	42-50269-B
xiàn nǐ hé	32-5722-S
xiàn pí zhì	52-36737-S
xiàn pǔ	3-53098-S
xiàn qián	42-51151-B
xiàn qiáo	60-39900-S
xiàn quān	25-41892-S,50-14957-S,50-16363-B,50-24215-S
xiàn quān bān	50-16437-B
xiàn qì	66-58975-S
xiàn qún	32-41255-S
xiàn qī	40-63812-S,66-18815-B
xiàn qū	38-45605-S
xiàn qū lǜ	39-3723-S
xiàn rèn	42-49406-B
xiàn rén	42-251-S
xiàn rù	66-32033-B
xiàn rǎn sè tǐ	16-63042-S
xiàn shàng	42-26012-B,50-16248-B
xiàn shàng chá xún	50-16291-B
xiàn shè yǐng	2-68393-S,53-2223-S
xiàn shéng	50-17437-B
xiàn shì	42-48732-B
xiàn shí	42-50051-B,42-50419-B
xiàn shí qíng kuàng	42-50178-B
xiàn shí zhǔ yì	42-50115-B
xiàn shēn	42-26355-B,42-50986-B
xiàn shēn xùn zhí	42-26465-B
xiàn suǐ zhì	52-36890-S
xiàn suǒ	31-26510-S,50-17371-B
xiàn sù	9-18589-S,43-40871-S,52-36821-S,66-17735-S
xiàn sù dù	50-17745-B
xiàn tiáo	50-17180-B
xiàn tuán	50-16587-B
xiàn tàn cè qì	4-64195-S
xiàn tú	50-16522-B
xiàn tǐ	33-9469-S
xiàn wù	44-31410-S
xiàn wēi guāng	1-18123-S
xiàn wǎng lù	40-59640-S
xiàn xià	42-48679-B
xiàn xiàn	42-26192-B
xiàn xiàng	11-28747-S,42-50744-B
xiàn xiàng xué	42-50802-B
xiàn xiǎo	40-63736-S
xiàn xuè	42-26248-B
xiàn xuè zhě	42-26298-B
xiàn xué	30-29691-S
xiàn xìng	21-17497-S,50-16637-B,67-67288-S
xiàn xìng bō	50-16845-B
xiàn xìng dài shù	50-16689-B
xiàn xìng fāng chéng	50-16761-B
xiàn xìng guāng xué	67-67352-S
xiàn xìng guī huà	50-17053-B
xiàn xìng jiā sù qì	45-23338-S
xiàn xìng suàn zi	50-16902-B
xiàn xìng xì tǒng	50-16982-B
xiàn xíng	38-5401-S,42-50687-B,56-45626-S
xiàn xíng jì	19-41116-S
xiàn xī xiāng	50-17553-B
xiàn xīn wén wǎng	32-38393-S,51-4325-S
xiàn yuán	12-24765-S,28-27456-S,32-40942-S
xiàn yuán fǎ	32-41012-S
xiàn yán	9-18448-S,26-30516-S,52-41926-S
xiàn yì	42-50316-B
xiàn yì wài	8-42110-S
xiàn yí shì	1-62258-S
xiàn yú	12-8674-S,66-18770-B,66-32248-B
xiàn yú bù rú tuì ér jié wǎng	52-60230-S
xiàn yǒu	42-50461-B
xiàn zhuàng	3-34813-S,42-50632-B,50-17270-B
xiàn zhèng	25-57513-B
xiàn zhèng xián	66-66219-S
xiàn zhì	12-64127-S,39-54432-S,40-63669-S,66-18398-B
xiàn zhì méi	66-18484-B
xiàn zhì méi tú pǔ	66-18548-B
xiàn zhí	38-44682-S,42-49484-B
xiàn zhóu	50-17697-B
xiàn zhāng	17-18270-S,25-57636-B,51-58658-S
xiàn zhāng pài	25-57680-B
xiàn zhě	14-35037-S,59-34763-S
xiàn zhōng	23-40845-S
