Ke4 luo2 nuo4 si1	7-17857-B
Ke4 shan1	7-15867-B,14-2006-B
Ke4 shi2 ke4 teng2	7-14492-B
Ke4 shi2 ke4 teng2 qi2	7-14584-B
Ke4 shi2 mi3 er3	7-14686-B
Ke4 wen2	7-16767-B,66-32759-S
Ke4 xi1 ma3 ni2 hua1 yuan2	19-52844-B
Ke4 xi1 ma3 ni2 yuan2	19-52760-B
Ke4 ye1 bang1	7-18002-B
Ke4 ye1 zu2	7-17918-B
Ke4 zi1 le4 su1	7-15350-B
Ke4 zi1 le4 su1 Ke1 er3 ke4 zi1 zi4 zhi4 zhou1	7-15594-B
Ke4 zi1 le4 su1 di4 qu1	7-15462-B
Ke4 zi1 le4 su1 he2	7-15779-B
Ken de ji	52-13744-B
Ken li	16-30766-B
Ken ni di	52-13492-B
Ken ni di Hang tian Zhong xin	52-13556-B
Ken ni di jiao	52-13667-B
Ken ni ya	52-13444-B
Ken pu suo en	52-13905-B
Ken ta ji	52-13048-B
Ken ta ji zhou	52-13110-B
Ken3 de2 ji1	52-13744-B
Ken3 li4	16-30766-B
Ken3 ni2 di2	52-13492-B
Ken3 ni2 di2 Hang2 tian1 Zhong1 xin1	52-13556-B
Ken3 ni2 di2 jiao3	52-13667-B
Ken3 ni2 ya4	52-13444-B
Ken3 pu3 suo3 en1	52-13905-B
Ken3 ta3 ji1	52-13048-B
Ken3 ta3 ji1 zhou1	52-13110-B
Keng kou	15-51958-B
Keng1 kou3	15-51958-B
Ki la wei e	15-68766-B
Ki1 la1 wei2 e4	15-68766-B
Kong Meng	19-2911-B
Kong Meng zhi dao	19-2968-B
Kong Qiu	19-2550-B
Kong cong zi	19-2594-B
Kong fu zi	19-2670-B
Kong jun	2-53680-S
Kong lin	19-3274-B
Kong miao	19-3063-B
Kong ming	19-3199-B
Kong que he	19-3602-B
Kong que wang chao	19-3672-B
Kong si bei ge	19-3118-B
Kong zi	19-2756-B
Kong zi jia yu	19-2811-B
Kong1 jun1	2-53680-S
Kong3 Meng4	19-2911-B
Kong3 Meng4 zhi1 dao4	19-2968-B
Kong3 Qiu1	19-2550-B
