gōu quán	10-12642-B,21-58180-S
gōu qú	39-18280-B
gōu qū	65-24223-S
gōu shì biàn	33-49592-S
gōu shǒu	10-12598-B
gōu tōng	3-45895-S,39-18381-B
gōu wài lián	57-1607-S
gōu xiàn	3-18559-S
gōu xiāo	1-16636-S
gōu yǐn	10-12546-B
gōu zhě zhū	47-59704-S
gōu zi	64-24534-B
gū	4-28858-S,4-59373-B,4-67172-S,13-15386-B,13-26627-B,17-13589-S,17-24768-S,18-39501-B,19-12715-B,20-62621-S,21-13140-S,22-44430-S,26-22323-S,28-59188-S,31-35508-S,35-57830-S,37-25651-B,37-29083-B,37-58818-S,40-62470-S,43-5149-S,44-60662-S,48-23344-B,48-24781-B,50-51035-B,51-5943-S,54-15590-S,54-28049-B,54-36571-B,55-43789-S,55-59491-B,56-14335-S,56-15220-S,56-18011-S,56-44083-S,57-46929-B,58-7115-S,61-5225-B,61-20261-B,61-33725-B,62-50230-S,63-2555-S,63-41973-B,63-55781-S,64-14216-S,64-15997-S,69-30208-S,69-30383-S,70-54900-B,71-150-S
gū bù zhī chūn qiū	56-18065-S
gū chǎn	4-59757-B
gū cè	4-59717-B
gū cí shēng zhí	19-13898-B
gū duī 5r	4-59538-B
gū dìng	4-59603-B
gū dú	19-13296-B
gū dān	19-12962-B
gū dǎn	19-13470-B
gū dǎn yīng xióng	19-13525-B
gū dǎo	19-13010-B,43-20676-S
gū fu	18-39693-B,18-40384-B
gū fù	61-33822-B
gū gu	18-39872-B
gū gū jiào	13-26655-B
gū hòu	63-55827-S
gū jià	4-59450-B
gū jiào	13-26655-S
gū jì	4-59937-B,29-23619-S,33-59397-S,49-6180-S
gū kē	56-15283-S
gū liang	4-59984-B
gū liàng	1-75521-S
gū lì	5-13741-S,19-13343-B
gū lì wú yuán	19-13391-B
gū líng líng	19-14020-B
gū lòu	19-13732-B
gū lòu guǎ wén	19-13786-B
gū lū	13-26799-B
gū lǎo ròu	13-26729-B
gū mo	4-59668-B
gū mā	18-39954-B
gū mǔ	18-40322-B,46-53148-S
gū niang	18-39916-B,40-25343-S
gū nǎi nai	18-39782-B
gū pì	19-12748-B
gū qiú bài	42-18870-S
gū qiě	18-39595-B
gū qū	16-19050-S,39-50454-S,44-60750-S
gū suàn	4-59831-B
gū xíng	1-8894-S
gū xī	18-40031-B
gū xī yí huàn	18-40105-B
gū xī yǎng jiān	18-40181-B
gū yuán	37-25720-B
gū yé	18-40473-B
gū yì	53-67308-S
gū yún	55-43732-S
gū zhàng	18-39536-B
