trouble	5-2860-S,5-2928-S,5-6695-S,5-60516-S,8-34132-S,8-44147-S,8-46665-S,18-26291-S,19-58633-S,19-59513-S,20-44655-S,25-8213-B,25-26737-S,25-26828-S,25-27123-S,26-22774-S,26-45407-S,26-58900-S,26-60234-S,27-12591-S,27-35260-S,27-35393-S,27-44403-S,27-44494-S,28-10357-S,28-54982-S,28-55333-S,28-55333-S,29-13495-S,29-63686-S,39-9651-S,39-9651-S,39-27184-S,39-27292-S,39-57461-S,41-9993-S,44-10540-S,45-33134-S,48-60254-S,50-56123-S,50-60853-S,52-16138-S,52-20593-S,52-57896-S,53-3361-S,53-67213-S,53-67308-S,58-36820-S,58-37224-S,60-45420-S,63-8183-S,66-43847-S,67-11981-B,67-13376-B,68-22231-S,68-46233-B,69-54741-B,70-29410-S,71-14829-B,71-40529-S
trouble between people	58-36899-S
trouble clearing	29-61780-B
trouble for imaginary fears	23-3448-S
trouble hidden within	24-38167-S
trouble in secret	71-43262-S
trouble maker	19-59609-S,19-59922-S,28-55402-B,40-57001-S
trouble of traveling a long distance	2-34985-S
trouble on account of a cherished item	26-1115-S
trouble on sb else s behalf	11-63817-S
trouble or danger in one s own backyard	59-10542-B
trouble or embarrassment	57-48419-S
trouble or emotions	57-54266-S
trouble should end it	57-52888-S
trouble some one to do	40-12776-B
trouble times test a faithful minister	44-7683-S,44-7881-S
trouble to	19-58469-S
trouble to everyone	25-63858-S
trouble with superfluous action	40-57763-S
trouble without reason 成语 saw	40-57001-S
troubled	18-62852-B,24-69926-B,25-56121-B,28-19625-B,43-15896-S,47-57231-B,47-57313-S,51-42704-B
troubled by	65-54173-S
troubled times	3-26119-B,40-6172-B
troubled water 成语 saw	38-54113-S,39-7964-S
troublemaker	52-4199-B
troubles	13-19755-S,16-35160-B
troubles to heart 成语 saw	51-42788-S
troublesome	2-31868-S,6-45079-B,14-92-B,38-42489-B,50-45742-B,50-56271-B,57-62317-B,59-46228-B,67-13206-B,71-14829-B
troublle out of nothing	40-45983-S
trough	34-46980-B,37-41823-B,40-2280-B,40-16768-B,60-61028-S,60-61090-S,69-6937-S
