fen tan	8-53499-B
fen tao	8-55380-B
fen ting kang li	8-52550-B
fen tong ku	54-43758-S
fen tou	8-59803-B
fen tu	48-47334-B,48-62417-B,57-35067-S
fen tu qiang	44-27477-S,44-29213-S
fen wai	4-44683-B
fen wei	8-56383-B,36-24441-B
fen wen bu qu	8-53913-B
fen wu lie	14-46630-S
fen wu yang wei	18-18343-B
fen xi	8-54589-B,12-5937-S,19-45340-S,19-48362-S,19-66085-S,20-12254-S,30-20324-S,30-21591-S,30-23228-S,31-41150-S,36-11694-S,37-35972-S,37-64514-S,48-55253-S,58-26880-S,62-55231-S
fen xi chu li	8-55184-B,51-61711-S
fen xi duan kou	21-51856-S
fen xi fa	8-55103-B,43-23432-S
fen xi hua xue	8-54710-B
fen xi jia	8-54977-B
fen xi mo xing	16-56338-S
fen xi qi	8-54852-B
fen xi ren shi	8-54641-B
fen xi shi	8-55040-B
fen xi xue	8-54903-B
fen xi yuan	8-54785-B
fen xiang	8-49241-B,8-56765-B,40-45578-B,53-53661-B
fen xiang jing shen	40-45629-B
fen xiao	8-54277-B,8-55327-B,8-59171-B,9-52060-S,22-2543-S
fen xiao dian	8-59231-B
fen xiao wang luo	8-59290-B
fen xin	8-52935-B
fen xin xi	8-60375-S
fen xing	8-52732-B
fen xing bai liang	8-54054-B
fen xing ji he	8-52782-B
fen xing ji he xue	8-52853-B
fen xuan zhi	1-71728-S
fen xue	24-18050-S,24-20504-S,59-7354-S
fen yi	8-52672-B
fen yi gou ti	12-45856-S
fen yi zuo	7-66240-S
fen yin fu	7-49274-S
fen yong	18-18181-B,53-3732-S
fen you	8-52980-B
fen you xian gong si	2-61362-S,37-1297-S
fen yuan li	59-7262-S
fen zang	8-58535-B
fen zhan	18-18292-B
fen zhen	68-36175-S
fen zheng	8-56456-B,35-18478-S,49-24229-B,53-59133-S,60-55534-S,60-55773-S
fen zhi	8-49184-B,8-53548-B,8-55287-B,8-55843-B,44-50829-S,44-51305-S,52-9890-S,63-22977-S
fen zhi bai	44-51209-S
fen zhi dian	8-57572-B
fen zhi er	1-31113-S
fen zhi guan xi cong ju	12-23010-S
fen zhi jiu shi	44-50986-S
fen zhi shi	44-51142-S
fen zhi wu shi	44-51063-S
fen zhi yi	1-26806-S,1-31049-S,3-17768-S,3-32853-S,3-47334-S,7-49210-S,7-66176-S,10-42582-S,10-45208-S,14-46565-S
fen zhi yi bai	44-50881-S
fen zhong	8-59413-B,62-43235-S
fen zi	2-17239-S,4-44762-B,4-44821-B,8-34882-S,8-50772-B,8-59739-S,11-45235-S,11-45430-S,17-7060-S,24-68853-S,24-68916-S,30-18106-S,32-35355-S,34-34496-S,34-35739-S,35-48674-S,38-49-S,40-5889-S,40-6035-S,43-26085-S,43-63299-S,45-64179-S,45-64261-S,49-17459-S,52-3407-S,68-46718-S,70-12021-S
fen zi hua xue	70-12086-S
fen zi liang	8-51121-B
fen zi shai	8-50989-B
fen zi sheng wu xue	8-50905-B
fen zi shi	8-50844-B
fen zi yi xue	8-51049-B
fen zi za jiao	8-51181-B
fen zu	8-57296-B
fen zu jiao huan	8-57359-B
fen1	1-38979-S,1-71362-S,2-5444-S,3-32797-S,3-50545-S,4-35429-S,6-11947-S,7-23484-B,7-24933-S,7-48398-S,7-56731-S,8-48969-B,9-39314-S,10-40561-S,10-42491-S,10-45083-S,11-2805-S,11-11915-S,12-11616-S,12-67172-B,14-51285-S,15-47392-S,16-8923-S,19-16933-S,20-46627-S,21-64045-S,22-16487-S,22-37667-S,24-6879-S,24-17962-S,24-20249-S,26-41159-S,27-18715-S,28-18376-S,31-32939-S,31-39520-S,33-2174-S,34-24734-B,35-7238-S,35-27395-S,36-9510-S,36-24406-B,36-28717-S,39-35571-S,42-37579-B,43-8803-S,44-50777-S,47-14316-S,47-38710-S,48-17795-S,49-2067-S,49-4276-S,49-24024-B,49-24275-S,50-43462-S,51-2121-S,51-32454-S,53-53369-B,54-793-S,54-1302-S,54-43681-S,59-7195-S,59-29443-S,63-36451-S,63-41537-B,63-54722-S,66-13395-S,67-12366-S,67-17715-B,70-11865-S,70-53357-B
fen1 Mei3 jin1	3-47478-S
fen1 bai3	44-51541-S
fen1 bei4	8-58494-B
fen1 bi3	44-51424-S,70-8598-S
fen1 bi3 ci3	1-71497-S
fen1 bian4	8-58683-B,8-58873-B
