biao3	1-30647-S,1-38018-S,3-13564-S,3-17679-S,4-11729-S,4-33061-S,5-50902-B,6-53535-S,6-54151-S,6-54452-S,6-62839-S,7-38048-S,8-67578-S,9-50181-S,15-27946-S,15-44653-S,15-45041-S,16-11499-S,16-12063-S,16-22054-S,16-50406-S,16-54375-S,18-53026-B,21-26132-S,21-53609-S,22-26686-S,26-1806-S,26-36743-S,31-26142-S,31-31669-S,31-32109-S,31-42599-S,31-55636-S,33-64038-S,34-12273-S,34-12456-S,36-27941-S,36-46510-S,37-44167-S,39-21430-S,40-31955-S,43-44205-S,44-33738-S,45-40827-S,48-14366-S,49-53575-S,51-60431-S,53-34889-S,54-36125-S,54-46482-S,55-52848-S,56-43022-B,57-2780-B,57-34521-S,58-13208-S,58-34780-S,58-34842-S,59-52795-S,60-36521-S,62-27509-S,62-29759-S,64-49171-B,64-56471-S,65-438-S,67-36015-S,67-38364-S,69-21954-S,70-8147-S,70-9731-S
biao3 bai2	56-45683-B
biao3 bao4	56-43705-B
biao3 ce4	56-43380-B
biao3 ceng2	56-44293-B
biao3 chi3	56-44237-B
biao3 da2	15-67507-S,56-46719-B
biao3 da2 shi1 yu3 zheng4	56-46795-B
biao3 da2 shi4	56-46881-B
biao3 da4 hui4	7-35145-S
biao3 dai4	64-49224-B
biao3 di4	56-44342-B
biao3 dui4	4-33361-S
biao3 ge1	56-43584-B
biao3 ge2	56-45118-B
biao3 gu1	56-44083-B
biao3 guan1	56-46320-B
biao3 hu2	57-2833-B
biao3 ji1	11-21370-S,29-9788-S,65-2122-S
biao3 ji4	56-46364-B
biao3 jie3	56-43937-B
biao3 jie3 mei4	56-44007-B
biao3 jue2	7-61111-S,56-45162-B
biao3 jue2 bi3 li4	8-39378-S
biao3 jue2 quan2	56-45216-B
biao3 lai2 kan4	24-11253-S
biao3 li3	56-46148-B
biao3 lu4	56-46962-B
biao3 mei4	56-43770-B
biao3 meng2 zi5	64-49392-B
biao3 mian4	32-28412-S,56-47007-B
biao3 mian4 de5	56-47463-B
biao3 mian4 hua4	56-47150-B
biao3 mian4 huo2 hua4 ji4	56-47306-B
biao3 mian4 huo2 xing4 ji4	56-47384-B
biao3 mian4 xin4 xi1	56-47074-B
biao3 mian4 zhang1 li4	56-47232-B
biao3 ming2	56-45018-B
biao3 pan2	64-49280-B,64-49342-B,65-381-S
biao3 pi2	56-45727-B
biao3 pi2 bo1 tuo1 su4	56-45778-B
biao3 qin1	56-46268-B
biao3 qing2	40-61310-S,56-44544-B,68-3761-S
biao3 sheng1 ming2	44-33899-S
biao3 shi4	7-61556-S,56-45851-B
biao3 shi4 ceng2	56-45940-B
biao3 shi4 jing4 yi4	56-46005-B
biao3 shu1	56-43454-B
biao3 shu4	56-46635-B
biao3 shuai4	56-45381-B
biao3 shui3	15-44713-S
biao3 tai4	56-44877-B
biao3 tu3	56-43651-B
biao3 tuan2	4-33235-S
biao3 xian4	56-45431-B
biao3 xian4 li4	56-45564-B
biao3 xian4 xing2	56-45626-B
biao3 xiang4	56-46594-B
biao3 xing4	4-33292-S
biao3 xiong1	56-43235-B
biao3 xiong1 di4	56-43305-B
biao3 yan3	56-45281-B
biao3 yan3 jiang3	44-33825-S
biao3 yan3 zhe3	11-68209-S
biao3 yang2	56-44962-B
biao3 yi4	56-44636-B
biao3 yi4 fu2 jie1 duan4	56-44793-B
biao3 yi4 wen2 zi4	2-73055-S,56-44700-B
biao3 yin1	56-47533-B
biao3 yu3	56-46427-B
biao3 zhang1	56-44411-B,56-46088-B
biao3 zhen1	64-49456-B
biao3 zheng1	56-44476-B
biao3 zheng4	56-46472-B
biao3 zhi2	56-43187-B
biao3 zi3 mei4	56-43842-B
biao3 zi4	56-44130-B
biao3 zi5	18-53060-B
biao3 zuo4	4-33145-S
biao4	70-39007-S,70-47025-B
biao4 jiao1	70-47081-B
